"","nama_wilayah","indeks_kedalaman_2021","provinsi"
"1","ACEH",2.86,"ACEH"
"2","Simeulue",2.37,"ACEH"
"3","Aceh Singkil",3.67,"ACEH"
"4","Aceh Selatan",1.69,"ACEH"
"5","Aceh Tenggara",2.51,"ACEH"
"6","Aceh Timur",2.31,"ACEH"
"7","Aceh Tengah",2.88,"ACEH"
"8","Aceh Barat",3.82,"ACEH"
"9","Aceh Besar",2.32,"ACEH"
"10","Pidie",3.04,"ACEH"
"11","Bireuen",2.07,"ACEH"
"12","Aceh Utara",2.17,"ACEH"
"13","Aceh Barat Daya",2.88,"ACEH"
"14","Gayo Lues",2.76,"ACEH"
"15","Aceh Tamiang",1.67,"ACEH"
"16","Nagan Raya",3.5,"ACEH"
"17","Aceh Jaya",2.06,"ACEH"
"18","Bener Meriah",4.62,"ACEH"
"19","Pidie Jaya",3.61,"ACEH"
"20","Kota Banda Aceh",1.12,"ACEH"
"21","Kota Sabang",2.8,"ACEH"
"22","Kota Langsa",1.53,"ACEH"
"23","Kota Lhokseumawe",1.87,"ACEH"
"24","Kota Subulussalam",2.29,"ACEH"
"25","SUMATERA UTARA",1.52,"SUMATERA UTARA"
"26","Nias",2.21,"SUMATERA UTARA"
"27","Mandailing Natal",1.44,"SUMATERA UTARA"
"28","Tapanuli Selatan",1.53,"SUMATERA UTARA"
"29","Tapanuli Tengah",2.04,"SUMATERA UTARA"
"30","Tapanuli Utara",1.21,"SUMATERA UTARA"
"31","Toba Samosir",1.34,"SUMATERA UTARA"
"32","Labuhan Batu",1.32,"SUMATERA UTARA"
"33","Asahan",1.9,"SUMATERA UTARA"
"34","Simalungun",1.12,"SUMATERA UTARA"
"35","Dairi",1.24,"SUMATERA UTARA"
"36","Karo",1.23,"SUMATERA UTARA"
"37","Deli Serdang",0.56,"SUMATERA UTARA"
"38","Langkat",1.17,"SUMATERA UTARA"
"39","Nias Selatan",2.38,"SUMATERA UTARA"
"40","Humbang Hasundutan",1.25,"SUMATERA UTARA"
"41","Pakpak Bharat",1.05,"SUMATERA UTARA"
"42","Samosir",2.2,"SUMATERA UTARA"
"43","Serdang Bedagai",0.87,"SUMATERA UTARA"
"44","Batu Bara",1.99,"SUMATERA UTARA"
"45","Padang Lawas Utara",1.29,"SUMATERA UTARA"
"46","Padang Lawas",1.33,"SUMATERA UTARA"
"47","Labuhan Batu Selatan",1.22,"SUMATERA UTARA"
"48","Labuhan Batu Utara",1.07,"SUMATERA UTARA"
"49","Nias Utara",4.24,"SUMATERA UTARA"
"50","Nias Barat",3.32,"SUMATERA UTARA"
"51","Kota Sibolga",2.04,"SUMATERA UTARA"
"52","Kota Tanjung Balai",1.72,"SUMATERA UTARA"
"53","Kota Pematang Siantar",1.12,"SUMATERA UTARA"
"54","Kota Tebing Tinggi",1.37,"SUMATERA UTARA"
"55","Kota Medan",1.1,"SUMATERA UTARA"
"56","Kota Binjai",0.59,"SUMATERA UTARA"
"57","Kota Padangsidimpuan",1.17,"SUMATERA UTARA"
"58","Kota Gunungsitoli",2.66,"SUMATERA UTARA"
"59","SUMATERA BARAT",1.04,"SUMATERA BARAT"
"60","Kepulauan Mentawai",2.43,"SUMATERA BARAT"
"61","Pesisir Selatan",0.87,"SUMATERA BARAT"
"62","Solok",0.91,"SUMATERA BARAT"
"63","Sijunjung",0.86,"SUMATERA BARAT"
"64","Tanah Datar",0.64,"SUMATERA BARAT"
"65","Padang Pariaman",0.81,"SUMATERA BARAT"
"66","Agam",0.98,"SUMATERA BARAT"
"67","Lima Puluh Kota",1.21,"SUMATERA BARAT"
"68","Pasaman",0.67,"SUMATERA BARAT"
"69","Solok Selatan",1.28,"SUMATERA BARAT"
"70","Dharmasraya",0.75,"SUMATERA BARAT"
"71","Pasaman Barat",1.24,"SUMATERA BARAT"
"72","Kota Padang",0.67,"SUMATERA BARAT"
"73","Kota Solok",0.28,"SUMATERA BARAT"
"74","Kota Sawah Lunto",0.33,"SUMATERA BARAT"
"75","Kota Padang Panjang",0.76,"SUMATERA BARAT"
"76","Kota Bukittinggi",0.8,"SUMATERA BARAT"
"77","Kota Payakumbuh",0.82,"SUMATERA BARAT"
"78","Kota Pariaman",0.36,"SUMATERA BARAT"
"79","RIAU",1.06,"RIAU"
"80","Kuantan Singingi",1.14,"RIAU"
"81","Indragiri Hulu",0.81,"RIAU"
"82","Indragiri Hilir",0.9,"RIAU"
"83","Pelalawan",1.45,"RIAU"
"84","Siak",0.61,"RIAU"
"85","Kampar",0.99,"RIAU"
"86","Rokan Hulu",1.51,"RIAU"
"87","Bengkalis",0.73,"RIAU"
"88","Rokan Hilir",0.79,"RIAU"
"89","Kepulauan Meranti",4.46,"RIAU"
"90","Kota Pekanbaru",0.19,"RIAU"
"91","Kota Dumai",0.4,"RIAU"
"92","JAMBI",1.29,"JAMBI"
"93","Kerinci",0.81,"JAMBI"
"94","Merangin",1.25,"JAMBI"
"95","Sarolangun",1.13,"JAMBI"
"96","Batang Hari",1.27,"JAMBI"
"97","Muaro Jambi",0.47,"JAMBI"
"98","Tanjung Jabung Timur",2.07,"JAMBI"
"99","Tanjung Jabung Barat",1.96,"JAMBI"
"100","Tebo",0.99,"JAMBI"
"101","Bungo",0.92,"JAMBI"
"102","Kota Jambi",1.42,"JAMBI"
"103","Kota Sungai Penuh",0.43,"JAMBI"
"104","SUMATERA SELATAN",2.26,"SUMATERA SELATAN"
"105","Ogan Komering Ulu",1.83,"SUMATERA SELATAN"
"106","Ogan Komering Ilir",3.52,"SUMATERA SELATAN"
"107","Muara Enim",1.66,"SUMATERA SELATAN"
"108","Lahat",3.14,"SUMATERA SELATAN"
"109","Musi Rawas",2.43,"SUMATERA SELATAN"
"110","Musi Banyuasin",3.1,"SUMATERA SELATAN"
"111","Banyu Asin",2,"SUMATERA SELATAN"
"112","Ogan Komering Ulu Selatan",1.28,"SUMATERA SELATAN"
"113","Ogan Komering Ulu Timur",1.3,"SUMATERA SELATAN"
"114","Ogan Ilir",2.55,"SUMATERA SELATAN"
"115","Empat Lawang",1.84,"SUMATERA SELATAN"
"116","Penukal Abab Lematang Ilir",1.84,"SUMATERA SELATAN"
"117","Musi Rawas Utara",3.02,"SUMATERA SELATAN"
"118","Kota Palembang",1.86,"SUMATERA SELATAN"
"119","Kota Prabumulih",1.2,"SUMATERA SELATAN"
"120","Kota Pagar Alam",1.03,"SUMATERA SELATAN"
"121","Kota Lubuklinggau",1.97,"SUMATERA SELATAN"
"122","BENGKULU",2.57,"BENGKULU"
"123","Bengkulu Selatan",3.28,"BENGKULU"
"124","Rejang Lebong",2.04,"BENGKULU"
"125","Bengkulu Utara",2.67,"BENGKULU"
"126","Kaur",4.09,"BENGKULU"
"127","Seluma",2.7,"BENGKULU"
"128","Mukomuko",1.88,"BENGKULU"
"129","Lebong",1.42,"BENGKULU"
"130","Kepahiang",1.62,"BENGKULU"
"131","Bengkulu Tengah",1.19,"BENGKULU"
"132","Kota Bengkulu",3.31,"BENGKULU"
"133","LAMPUNG",1.88,"LAMPUNG"
"134","Lampung Barat",2.69,"LAMPUNG"
"135","Tanggamus",1.26,"LAMPUNG"
"136","Lampung Selatan",2.37,"LAMPUNG"
"137","Lampung Timur",2.45,"LAMPUNG"
"138","Lampung Tengah",1.76,"LAMPUNG"
"139","Lampung Utara",3.3,"LAMPUNG"
"140","Way Kanan",2.12,"LAMPUNG"
"141","Tulangbawang",1.15,"LAMPUNG"
"142","Pesawaran",2.3,"LAMPUNG"
"143","Pringsewu",1.38,"LAMPUNG"
"144","Mesuji",0.83,"LAMPUNG"
"145","Tulang Bawang Barat",0.68,"LAMPUNG"
"146","Pesisir Barat",2.39,"LAMPUNG"
"147","Kota Bandar Lampung",1.52,"LAMPUNG"
"148","Kota Metro",1.27,"LAMPUNG"
"149","KEP. BANGKA BELITUNG",0.61,"KEP. BANGKA BELITUNG"
"150","Bangka",0.39,"KEP. BANGKA BELITUNG"
"151","Belitung",0.51,"KEP. BANGKA BELITUNG"
"152","Bangka Barat",0.25,"KEP. BANGKA BELITUNG"
"153","Bangka Tengah",0.63,"KEP. BANGKA BELITUNG"
"154","Bangka Selatan",0.35,"KEP. BANGKA BELITUNG"
"155","Belitung Timur",1.15,"KEP. BANGKA BELITUNG"
"156","Kota Pangkal Pinang",0.57,"KEP. BANGKA BELITUNG"
"157","KEPULAUAN RIAU",1.07,"KEPULAUAN RIAU"
"158","Karimun",1.14,"KEPULAUAN RIAU"
"159","Bintan",0.65,"KEPULAUAN RIAU"
"160","Natuna",0.44,"KEPULAUAN RIAU"
"161","Lingga",2.98,"KEPULAUAN RIAU"
"162","Kepulauan Anambas",0.87,"KEPULAUAN RIAU"
"163","Kota Batam",0.89,"KEPULAUAN RIAU"
"164","Kota Tanjung Pinang",1.75,"KEPULAUAN RIAU"
"165","DKI JAKARTA",0.64,"DKI JAKARTA"
"166","Kepulauan Seribu",2.61,"DKI JAKARTA"
"167","Kota Jakarta Selatan",0.62,"DKI JAKARTA"
"168","Kota Jakarta Timur",0.56,"DKI JAKARTA"
"169","Kota Jakarta Pusat",0.53,"DKI JAKARTA"
"170","Kota Jakarta Barat",0.56,"DKI JAKARTA"
"171","Kota Jakarta Utara",0.72,"DKI JAKARTA"
"172","JAWA BARAT",1.47,"JAWA BARAT"
"173","Bogor",1.36,"JAWA BARAT"
"174","Sukabumi",1.04,"JAWA BARAT"
"175","Cianjur",1.83,"JAWA BARAT"
"176","Bandung",1.23,"JAWA BARAT"
"177","Garut",1.4,"JAWA BARAT"
"178","Tasikmalaya",1.57,"JAWA BARAT"
"179","Ciamis",0.88,"JAWA BARAT"
"180","Kuningan",2.02,"JAWA BARAT"
"181","Cirebon",1.94,"JAWA BARAT"
"182","Majalengka",2.44,"JAWA BARAT"
"183","Sumedang",1.72,"JAWA BARAT"
"184","Indramayu",2.46,"JAWA BARAT"
"185","Subang",1.93,"JAWA BARAT"
"186","Purwakarta",1.31,"JAWA BARAT"
"187","Karawang",1.27,"JAWA BARAT"
"188","Bekasi",0.91,"JAWA BARAT"
"189","Bandung Barat",1.62,"JAWA BARAT"
"190","Pangandaran",1.25,"JAWA BARAT"
"191","Kota Bogor",1.1,"JAWA BARAT"
"192","Kota Sukabumi",1.39,"JAWA BARAT"
"193","Kota Bandung",0.78,"JAWA BARAT"
"194","Kota Cirebon",2.22,"JAWA BARAT"
"195","Kota Bekasi",0.66,"JAWA BARAT"
"196","Kota Depok",0.34,"JAWA BARAT"
"197","Kota Cimahi",0.93,"JAWA BARAT"
"198","Kota Tasikmalaya",2.42,"JAWA BARAT"
"199","Kota Banjar",1.19,"JAWA BARAT"
"200","JAWA TENGAH",1.91,"JAWA TENGAH"
"201","Cilacap",1.48,"JAWA TENGAH"
"202","Banyumas",2.36,"JAWA TENGAH"
"203","Purbalingga",2.1,"JAWA TENGAH"
"204","Banjarnegara",2.97,"JAWA TENGAH"
"205","Kebumen",3.24,"JAWA TENGAH"
"206","Purworejo",1.36,"JAWA TENGAH"
"207","Wonosobo",2.75,"JAWA TENGAH"
"208","Magelang",1.63,"JAWA TENGAH"
"209","Boyolali",1.76,"JAWA TENGAH"
"210","Klaten",1.79,"JAWA TENGAH"
"211","Sukoharjo",0.91,"JAWA TENGAH"
"212","Wonogiri",1.58,"JAWA TENGAH"
"213","Karanganyar",1.61,"JAWA TENGAH"
"214","Sragen",2.39,"JAWA TENGAH"
"215","Grobogan",1.66,"JAWA TENGAH"
"216","Blora",1.82,"JAWA TENGAH"
"217","Rembang",2.77,"JAWA TENGAH"
"218","Pati",1.69,"JAWA TENGAH"
"219","Kudus",1.23,"JAWA TENGAH"
"220","Jepara",0.88,"JAWA TENGAH"
"221","Demak",2.32,"JAWA TENGAH"
"222","Semarang",0.95,"JAWA TENGAH"
"223","Temanggung",1.57,"JAWA TENGAH"
"224","Kendal",1.52,"JAWA TENGAH"
"225","Batang",1.76,"JAWA TENGAH"
"226","Pekalongan",1.75,"JAWA TENGAH"
"227","Pemalang",2.92,"JAWA TENGAH"
"228","Tegal",1,"JAWA TENGAH"
"229","Brebes",3.04,"JAWA TENGAH"
"230","Kota Magelang",0.85,"JAWA TENGAH"
"231","Kota Surakarta",1.83,"JAWA TENGAH"
"232","Kota Salatiga",0.8,"JAWA TENGAH"
"233","Kota Semarang",0.67,"JAWA TENGAH"
"234","Kota Pekalongan",1.51,"JAWA TENGAH"
"235","Kota Tegal",1.04,"JAWA TENGAH"
"236","D I YOGYAKARTA",2.42,"D I YOGYAKARTA"
"237","Kulon Progo",3.01,"D I YOGYAKARTA"
"238","Bantul",2.24,"D I YOGYAKARTA"
"239","Gunung Kidul",2.98,"D I YOGYAKARTA"
"240","Sleman",1.26,"D I YOGYAKARTA"
"241","Kota Yogyakarta",1.07,"D I YOGYAKARTA"
"242","JAWA TIMUR",1.84,"JAWA TIMUR"
"243","Pacitan",1.66,"JAWA TIMUR"
"244","Ponorogo",1.08,"JAWA TIMUR"
"245","Trenggalek",1.46,"JAWA TIMUR"
"246","Tulungagung",0.94,"JAWA TIMUR"
"247","Blitar",0.85,"JAWA TIMUR"
"248","Kediri",1.35,"JAWA TIMUR"
"249","Malang",1.41,"JAWA TIMUR"
"250","Lumajang",1.57,"JAWA TIMUR"
"251","Jember",1.58,"JAWA TIMUR"
"252","Banyuwangi",1.32,"JAWA TIMUR"
"253","Bondowoso",2.19,"JAWA TIMUR"
"254","Situbondo",2.08,"JAWA TIMUR"
"255","Probolinggo",3.26,"JAWA TIMUR"
"256","Pasuruan",1.17,"JAWA TIMUR"
"257","Sidoarjo",0.95,"JAWA TIMUR"
"258","Mojokerto",1.59,"JAWA TIMUR"
"259","Jombang",1.55,"JAWA TIMUR"
"260","Nganjuk",1.56,"JAWA TIMUR"
"261","Madiun",1.65,"JAWA TIMUR"
"262","Magetan",1.54,"JAWA TIMUR"
"263","Ngawi",2.23,"JAWA TIMUR"
"264","Bojonegoro",1.88,"JAWA TIMUR"
"265","Tuban",3.26,"JAWA TIMUR"
"266","Lamongan",2.7,"JAWA TIMUR"
"267","Gresik",2.15,"JAWA TIMUR"
"268","Bangkalan",3.51,"JAWA TIMUR"
"269","Sampang",3.66,"JAWA TIMUR"
"270","Pamekasan",1.9,"JAWA TIMUR"
"271","Sumenep",4.73,"JAWA TIMUR"
"272","Kota Kediri",1.03,"JAWA TIMUR"
"273","Kota Blitar",1.06,"JAWA TIMUR"
"274","Kota Malang",0.87,"JAWA TIMUR"
"275","Kota Probolinggo",0.9,"JAWA TIMUR"
"276","Kota Pasuruan",1.15,"JAWA TIMUR"
"277","Kota Mojokerto",0.84,"JAWA TIMUR"
"278","Kota Madiun",0.67,"JAWA TIMUR"
"279","Kota Surabaya",0.75,"JAWA TIMUR"
"280","Kota Batu",0.39,"JAWA TIMUR"
"281","BANTEN",1.09,"BANTEN"
"282","Pandeglang",1.49,"BANTEN"
"283","Lebak",1.66,"BANTEN"
"284","Tangerang",1.21,"BANTEN"
"285","Serang",0.61,"BANTEN"
