"","kabupaten_kota","ikan","ekor_kuning","tongkol_tuna_cakalang_dencis_ikan_kayu","tenggiri","selar","kembung_lema_tatare_banyar_banyara","teri","bandeng","gabus","mujair","mas_nila","lele","kakap","baronang","patin","bawal","gurame","ikan_segar_basah_lainnya","udang_lobster","cumi_cumi_sotong_gurita","ketam_kepiting_rajungan","kerang_siput_bekicot_remis","udang_dan_hewan_air_lainnya_yang_segar_lainnya","kembung_diawetkan_peda","tenggiri_diawetkan","tongkol_tuna_cakalang_diawetkan","teri_diawetkan","selar_diawetkan","sepat_diawetkan","bandeng_diawetkan","gabus_diawetkan","ikan_dalam_kaleng_sardencis_tuna_dalam_kaleng_dsb","ikan_diawetkan_lainnya","udang_diawetkan_ebi_rebon","cumi_cumi_sotong_gurita_diawetkan","udang_dan_hewan_air_lainnya_yang_diawetkan"
"1","Simeulue",12745,934,4522,241,844,1146,333,65,70,31,13,97,775,68,NA,10,13,1640,499,617,111,101,37,9,NA,134,210,NA,NA,NA,NA,45,124,38,20,1
"2","Aceh Singkil",17562,579,5991,101,68,1063,230,61,1296,260,2960,770,168,20,68,NA,69,1032,608,250,47,59,33,89,13,210,502,11,5,11,102,38,748,68,5,24
"3","Aceh Selatan",16598,501,5760,139,1796,1807,1056,97,209,87,343,174,732,16,18,34,15,1653,431,188,4,38,75,32,1,82,719,140,8,10,4,12,225,170,NA,22
"4","Aceh Tenggara",17814,86,2539,3,36,547,619,59,275,2640,4250,563,NA,NA,21,40,37,196,397,166,38,56,84,752,41,215,2229,232,25,NA,70,117,770,305,233,170
"5","Aceh Timur",17687,871,5011,131,359,1822,424,2619,167,534,41,58,242,38,17,88,8,983,1779,554,158,6,337,131,47,188,632,47,26,22,2,54,204,69,NA,19
"6","Aceh Tengah",17327,6,2461,29,43,1263,303,3458,107,3233,1211,259,27,NA,26,423,NA,533,1774,392,57,27,33,120,NA,57,359,137,20,9,13,221,617,54,7,46
"7","Aceh Barat",27910,147,8124,319,423,4438,414,617,1148,203,786,1452,1131,NA,11,438,153,1912,2786,325,69,386,601,352,23,222,577,18,2,11,164,70,154,328,27,77
"8","Aceh Besar",22984,513,8093,120,41,1962,1323,812,354,501,208,247,272,49,NA,5,18,487,3878,1219,233,61,181,189,71,500,1271,70,NA,NA,1,15,94,151,41,2
"9","Pidie",21965,412,6316,172,434,3051,1393,1925,90,1032,191,72,84,76,NA,83,43,1123,3529,375,132,58,336,223,6,118,411,33,4,4,NA,4,94,143,NA,NA
"10","Bireuen",24434,529,7154,191,542,1835,918,3412,161,1432,116,33,211,12,77,35,75,1410,3846,759,77,64,110,189,13,320,408,62,4,53,11,2,301,38,5,30
"11","Aceh Utara",15908,677,3948,149,453,1469,682,2551,234,1353,26,93,138,9,36,68,53,404,1498,623,62,29,NA,185,78,138,544,123,13,68,5,11,99,80,NA,10
"12","Aceh Barat Daya",16990,296,4841,332,1194,2034,1560,61,685,255,606,808,172,1,15,16,1,1288,661,281,45,43,47,54,21,121,960,130,25,2,7,NA,123,301,NA,4
"13","Gayo Lues",23757,231,2159,NA,5,397,257,420,12,3936,5503,719,55,NA,259,7,21,569,1415,145,NA,17,13,1011,99,199,4066,54,NA,23,14,306,1182,337,44,281
"14","Aceh Tamiang",13426,163,3544,20,114,1006,56,1350,419,506,251,290,235,NA,18,77,54,2427,1413,396,82,42,12,31,45,25,426,13,1,NA,4,54,303,24,9,15
"15","Nagan Raya",21594,341,5136,24,94,1796,693,561,1800,236,2075,2033,306,10,87,148,39,1098,1632,143,181,486,136,333,15,293,791,24,4,6,198,148,257,450,5,15
"16","Aceh Jaya",23960,410,8212,142,317,1736,427,1009,906,368,490,536,186,11,NA,59,48,2131,3492,387,489,286,38,149,20,430,802,43,3,2,16,272,207,269,17,51
"17","Bener Meriah",15597,74,3124,19,4,1438,132,4159,189,3094,299,103,NA,NA,64,297,14,242,854,52,48,NA,15,49,2,100,273,1,4,3,NA,184,632,39,NA,90
"18","Pidie Jaya",22260,398,5591,464,351,1785,1748,2524,175,1812,206,126,78,5,41,82,98,294,3508,345,291,191,778,312,64,184,581,53,34,35,7,5,49,20,NA,24
"19","Kota Banda Aceh",26658,367,8587,202,65,2205,713,576,83,623,89,155,888,15,7,81,45,1707,5445,2504,111,161,799,48,29,68,849,2,2,NA,4,11,77,102,36,NA
"20","Kota Sabang",22244,820,7244,150,168,1672,1259,85,80,1088,224,89,503,21,NA,24,NA,3956,2116,1187,12,5,NA,156,16,292,780,NA,15,3,NA,39,165,46,27,NA
"21","Kota Langsa",19441,177,4942,NA,531,1982,133,982,67,558,44,344,694,41,38,218,33,2456,3724,977,250,27,28,79,NA,67,539,7,NA,NA,20,63,360,37,15,5
"22","Kota Lhokseumawe",23149,360,6553,189,541,2346,856,2215,82,811,106,155,674,78,18,316,34,688,4200,1345,108,194,235,96,12,217,421,30,NA,23,5,NA,136,45,32,28
"23","Kota Subulussalam",13766,47,5801,50,16,383,73,14,693,313,2250,575,NA,NA,66,15,53,456,503,355,29,1,NA,98,43,376,920,79,14,4,27,28,353,76,6,48
"24","Nias",9771,43,4467,252,232,62,95,NA,19,10,90,451,60,NA,NA,25,13,182,33,49,8,NA,NA,166,175,561,999,101,13,NA,7,28,1408,19,NA,206
"25","Mandailing Natal",12306,88,3684,121,17,935,102,13,488,507,2171,366,16,NA,NA,21,NA,355,313,139,2,NA,21,123,134,377,1182,91,40,51,91,124,525,161,NA,47
"26","Tapanuli Selatan",14644,96,3953,84,52,730,81,NA,192,799,3152,550,20,NA,NA,10,NA,397,118,200,21,NA,NA,165,19,390,1556,14,9,13,51,165,1227,320,2,257
"27","Tapanuli Tengah",18336,546,4611,31,252,4844,355,15,241,133,536,309,38,37,NA,29,NA,2596,640,375,89,39,31,77,13,178,819,52,13,52,15,23,1246,57,2,44
"28","Tapanuli Utara",20049,195,4190,80,27,151,233,31,92,4149,1566,635,83,NA,NA,24,13,249,107,93,NA,NA,11,611,19,300,3406,166,70,29,263,4,2985,138,7,124
"29","Toba Samosir",24759,23,3731,6,NA,383,554,NA,367,7388,1948,1091,238,NA,34,93,115,301,286,134,8,30,8,479,11,179,4288,52,24,26,NA,15,2557,195,7,188
"30","Labuhan Batu",16463,77,2107,NA,230,3812,322,23,1177,782,1082,1371,92,1,315,70,33,1014,588,111,46,409,135,216,4,60,1482,85,47,NA,11,40,299,354,3,68
"31","Asahan",17917,52,2082,80,216,4101,325,NA,1541,566,1042,1129,29,11,175,61,114,1941,804,163,171,836,50,192,1,45,994,267,24,NA,12,39,380,399,9,68
"32","Simalungun",16735,95,2991,49,52,1737,20,7,204,1051,2082,1408,20,NA,131,NA,4,313,603,90,13,334,13,613,34,121,3244,266,45,NA,23,29,732,322,11,77
"33","Dairi",18349,131,2090,9,34,420,123,NA,101,3305,2469,827,26,NA,1,NA,3,122,132,124,NA,8,NA,166,359,338,3498,319,NA,3,21,14,3041,127,NA,539
"34","Karo",23279,147,2944,NA,81,928,353,NA,317,725,5832,1942,13,NA,52,49,NA,325,832,263,222,184,NA,1038,21,137,4381,202,37,5,68,249,517,1203,112,99
"35","Deli Serdang",16306,128,3930,8,187,2220,256,4,190,287,2014,1240,160,NA,27,20,129,797,1373,238,35,319,28,122,7,63,1888,25,18,NA,4,44,366,138,2,39
"36","Langkat",14170,253,2746,36,75,1468,176,177,859,190,1212,772,45,26,50,38,142,1789,1112,189,206,91,78,259,3,23,1596,46,13,1,NA,79,334,45,6,37
"37","Nias Selatan",12032,285,6180,407,24,231,439,43,12,81,4,92,20,NA,NA,37,NA,268,228,385,NA,NA,NA,162,12,707,1011,59,NA,59,NA,29,1259,NA,NA,NA
"38","Humbang Hasundutan",20735,152,3209,76,34,430,284,24,67,4108,2127,540,96,NA,NA,16,11,217,211,77,NA,NA,NA,316,NA,340,3562,179,93,70,87,99,3811,222,28,249
"39","Pakpak Bharat",15250,13,2437,NA,NA,139,16,NA,29,2451,1498,286,28,NA,NA,22,NA,175,131,33,NA,NA,5,385,NA,169,2052,83,NA,NA,40,26,4999,120,NA,113
"40","Samosir",23868,NA,1886,NA,NA,263,458,NA,171,9358,1529,341,31,NA,NA,NA,26,158,9,18,27,28,NA,163,4,441,5398,282,63,NA,27,15,2943,NA,NA,227
"41","Serdang Bedagai",16149,47,2550,14,173,4002,310,16,761,262,1207,896,61,NA,27,8,182,1625,1059,115,80,416,29,127,22,20,1460,37,46,NA,1,39,448,77,NA,34
"42","Batu Bara",15662,72,1826,8,252,4667,162,15,702,59,671,279,21,NA,32,161,46,2543,986,339,323,551,130,115,4,70,872,65,6,NA,NA,61,459,106,NA,59
"43","Padang Lawas Utara",15540,89,2421,17,80,764,28,5,279,88,2865,1766,85,NA,169,NA,NA,666,263,70,16,42,11,228,41,243,2894,95,17,28,26,195,1161,778,10,99
"44","Padang Lawas",14803,29,2204,40,4,190,145,NA,161,186,3609,1931,97,31,198,NA,NA,1130,336,73,NA,14,70,133,32,809,1884,103,3,3,69,428,394,373,15,108
"45","Labuhan Batu Selatan",16688,20,2239,45,28,1876,426,6,1425,183,2716,1409,27,NA,529,23,75,1023,372,157,62,315,4,355,8,130,1983,154,7,12,NA,101,275,596,21,87
"46","Labuhan Batu Utara",17104,36,1101,13,47,2489,174,81,2180,126,1956,890,NA,NA,273,33,80,1674,705,140,238,377,22,336,2,47,2292,700,29,NA,30,101,261,584,6,84
"47","Nias Utara",12822,466,5796,345,207,568,443,91,43,7,109,532,452,36,16,41,134,168,38,378,NA,3,NA,64,57,667,816,12,16,NA,NA,111,1103,NA,NA,103
"48","Nias Barat",7693,51,1775,77,363,633,275,NA,45,37,106,439,72,NA,15,49,NA,161,173,47,NA,14,NA,42,30,134,1209,64,38,NA,59,48,1740,NA,NA,NA
"49","Kota Sibolga",17630,327,5330,131,348,3884,302,NA,33,113,208,151,369,623,NA,127,16,2773,693,773,31,20,13,38,23,25,891,37,7,NA,NA,2,266,28,34,14
"50","Kota Tanjung Balai",17116,66,2461,103,489,4095,36,8,236,71,420,207,34,NA,40,379,112,3316,1363,460,153,663,179,17,7,14,1467,196,30,NA,NA,53,216,189,34,2
"51","Kota Pematang Siantar",19050,29,4034,22,107,1983,95,NA,186,928,3135,1627,150,NA,162,184,6,567,1236,186,43,344,11,657,13,23,2694,9,NA,2,NA,14,409,103,21,70
"52","Kota Tebing Tinggi",19064,108,3222,62,277,3364,73,16,291,108,1532,881,325,NA,45,317,124,1975,1913,364,293,659,85,327,NA,61,2067,21,12,NA,NA,95,262,128,47,12
"53","Kota Medan",19522,174,4529,38,314,2108,209,58,247,756,1777,1211,507,NA,87,338,239,653,2677,587,132,269,135,144,16,33,1777,30,6,NA,7,110,177,137,27,14
"54","Kota Binjai",15703,164,4336,29,178,2010,282,NA,130,23,1618,1155,155,NA,81,189,221,440,1854,469,17,209,52,188,11,14,1584,54,18,7,NA,48,160,9,NA,NA
"55","Kota Padangsidimpuan",16408,57,4832,47,91,742,100,5,41,952,2491,810,108,NA,11,16,40,951,699,345,NA,10,NA,51,2,167,1656,59,56,14,4,278,1212,313,13,236
"56","Kota Gunungsitoli",16790,173,7383,317,640,1115,419,43,23,7,206,939,1137,NA,NA,584,83,776,124,494,NA,NA,NA,274,43,255,666,346,190,29,5,19,485,12,NA,NA
"57","Kepulauan Mentawai",20992,964,5284,151,805,45,121,NA,360,191,150,576,605,208,NA,NA,157,7866,833,167,228,313,136,221,9,6,1072,20,16,NA,5,194,288,NA,NA,NA
"58","Pesisir Selatan",13551,335,3946,83,964,2246,463,30,129,46,924,340,67,152,2,99,NA,1515,190,385,10,78,34,18,5,50,988,120,64,2,12,14,234,NA,NA,5
"59","Solok",11192,56,3208,19,176,55,221,53,38,308,2620,265,NA,NA,145,NA,46,560,60,12,22,10,36,150,78,150,1384,142,678,53,35,38,492,74,NA,9
"60","Sijunjung",11925,71,2478,9,18,18,103,NA,52,112,2824,813,10,3,720,20,NA,853,229,68,NA,1,135,45,19,40,1820,114,419,23,31,314,493,48,23,NA
"61","Tanah Datar",13474,98,2658,39,133,149,NA,5,2,348,3385,274,4,NA,260,2,102,828,384,77,NA,15,19,8,59,151,1594,129,1377,57,391,202,674,30,NA,19
"62","Padang Pariaman",14129,828,3906,119,1422,2318,100,NA,92,120,1970,325,87,7,11,11,22,463,692,201,16,3,51,36,16,41,762,157,169,5,15,15,118,26,4,NA
"63","Agam",13895,124,3774,62,12,432,151,33,41,443,3169,502,6,8,114,11,52,628,990,175,2,32,81,64,17,81,1315,97,715,30,44,126,386,47,NA,133
"64","Lima Puluh Kota",14247,19,1948,97,46,57,8,16,75,59,4287,544,9,5,385,NA,171,500,302,68,NA,42,14,100,239,596,2068,90,1030,22,197,434,640,111,19,51
"65","Pasaman",10485,106,2572,46,30,22,30,NA,182,544,3066,360,NA,NA,NA,1,37,187,153,29,36,6,17,163,50,425,1362,84,118,39,112,132,367,171,NA,39
"66","Solok Selatan",13360,127,4042,49,NA,134,27,17,12,257,3022,511,NA,NA,191,12,52,1059,323,45,NA,6,4,44,88,117,2188,138,455,45,44,164,161,17,NA,10
"67","Dharmasraya",13219,84,2418,8,52,56,28,3,217,89,2935,1129,5,NA,839,24,79,1109,773,74,NA,NA,39,86,48,143,1968,77,277,47,21,349,209,5,11,16
"68","Pasaman Barat",17222,308,4193,778,722,2201,135,39,255,94,2234,485,39,NA,29,41,18,1155,1410,120,78,42,32,209,34,283,1337,142,30,6,79,73,540,27,15,40
"69","Kota Padang",16516,221,4805,163,326,2302,574,3,63,81,1736,586,162,NA,27,6,78,1383,1177,467,118,5,79,15,1,45,889,52,629,14,132,123,236,8,5,7
"70","Kota Solok",13860,241,3635,103,752,154,17,NA,NA,192,2804,517,24,NA,209,25,NA,624,852,279,28,NA,28,10,4,37,1368,144,1087,29,91,180,339,22,61,7
"71","Kota Sawah Lunto",15405,226,3424,80,98,183,73,1,8,63,4064,1040,15,NA,512,14,67,580,916,522,23,NA,NA,84,59,99,1631,83,1055,42,197,131,93,22,NA,NA
"72","Kota Padang Panjang",14258,110,4269,60,124,305,51,12,49,305,2187,624,29,15,314,NA,22,336,1532,482,NA,NA,50,162,15,97,1343,80,901,27,142,462,98,9,45,3
"73","Kota Bukittinggi",15868,139,5082,56,70,275,31,13,NA,584,3192,618,32,NA,239,15,30,407,1345,534,44,4,98,54,16,110,1315,129,729,13,84,339,199,46,10,16
"74","Kota Payakumbuh",13753,114,2438,45,518,264,63,6,11,63,4207,546,37,NA,273,NA,118,168,707,211,NA,NA,59,155,57,185,1875,219,726,3,81,324,210,11,16,44
"75","Kota Pariaman",18228,510,5028,419,701,3035,207,NA,226,232,1481,587,373,NA,59,28,214,1843,1403,586,43,NA,7,14,5,23,672,24,314,4,10,11,169,NA,NA,NA
"76","Kuantan Singingi",16117,NA,1045,NA,68,167,176,35,383,33,3935,1021,28,NA,2146,111,42,683,1023,240,NA,77,36,221,71,110,2805,89,270,11,6,335,745,124,53,29
"77","Indragiri Hulu",14935,NA,810,10,230,404,231,33,1263,73,3637,1236,55,30,2357,61,92,909,562,110,34,107,5,132,13,76,1732,50,20,3,22,177,434,9,10,7
"78","Indragiri Hilir",19182,42,1321,343,507,982,213,75,896,47,1036,652,241,38,1248,324,191,3475,2186,306,216,487,664,104,10,NA,1932,23,16,0,10,238,1165,55,6,134
"79","Pelalawan",21548,63,1989,84,156,588,194,65,1659,118,2664,1533,58,22,2250,28,170,2466,1706,680,126,201,222,284,NA,96,2739,131,83,18,64,154,738,117,3,79
"80","Siak",16400,15,1916,185,131,1109,250,31,1012,14,2441,1650,31,NA,1342,39,132,1029,1065,251,NA,126,122,263,31,189,2179,81,64,8,49,264,311,37,11,24
"81","Kampar",15086,21,1377,39,192,357,465,19,684,76,2671,1287,17,18,1978,71,43,1229,521,259,NA,252,8,73,12,128,2332,111,94,5,15,384,283,40,14,11
"82","Rokan Hulu",16407,34,1691,3,45,398,828,78,926,122,2971,1173,18,63,1372,67,115,1692,452,222,NA,62,12,330,3,154,2040,101,151,20,85,128,819,147,49,37
"83","Bengkalis",19053,172,1654,719,1165,1385,12,31,1108,116,1511,1428,47,4,941,57,123,2694,1086,188,39,316,48,216,66,19,2468,186,192,NA,69,333,414,173,57,15
"84","Rokan Hilir",17105,60,1561,22,165,1902,189,33,2425,394,1346,1048,12,48,1016,161,92,2357,651,164,71,578,83,132,17,40,1212,143,53,2,36,123,498,391,23,57
"85","Kepulauan Meranti",17523,83,1816,824,1086,991,118,6,278,22,90,195,38,10,69,255,56,5584,2238,90,196,362,433,340,2,28,1049,10,5,3,NA,201,933,49,24,39
"86","Kota Pekanbaru",20222,66,2432,9,453,451,126,6,445,157,2823,1825,84,24,1658,88,432,2344,2263,854,19,117,74,103,38,12,2187,78,298,5,70,246,381,19,10,24
"87","Kota Dumai",19390,87,2161,285,301,1190,171,69,428,47,1939,1410,199,NA,982,72,47,3861,1796,441,71,397,59,176,16,111,2035,23,102,NA,16,215,534,86,36,27
"88","Kerinci",14971,65,2646,98,29,555,NA,NA,63,2357,2382,308,4,NA,20,14,14,1756,243,59,NA,73,14,36,1,97,1515,51,450,32,5,263,1259,174,16,370
"89","Merangin",11260,34,1275,NA,15,49,59,32,220,89,3885,1160,160,7,443,NA,NA,701,86,118,NA,4,24,92,15,198,2151,8,50,NA,61,222,90,6,3,2
"90","Sarolangun",12290,2,866,13,NA,124,4,17,483,36,4177,847,8,7,1505,37,107,1077,202,12,NA,43,NA,60,88,197,1944,6,32,5,2,203,169,4,9,8
"91","Batang Hari",11457,NA,613,NA,6,32,12,44,1037,24,3347,657,8,7,2376,NA,29,660,368,26,NA,22,NA,26,8,119,1598,NA,8,NA,29,264,121,6,NA,9
"92","Muaro Jambi",15432,94,1124,9,115,388,NA,65,1721,79,3543,1347,77,17,1899,115,198,1039,754,92,109,126,96,63,1,159,1486,28,90,119,54,306,53,47,17,NA
"93","Tanjung Jabung Timur",18425,31,1020,70,54,558,96,113,1432,62,2991,690,105,NA,1232,556,NA,3685,2015,266,282,450,511,26,16,40,1411,5,55,NA,53,162,415,13,NA,8
"94","Tanjung Jabung Barat",14650,18,1362,140,40,875,NA,307,883,99,2104,866,NA,15,1087,750,124,1479,1257,264,57,261,426,89,3,101,1329,6,29,2,10,200,392,44,2,28
"95","Tebo",11870,8,1158,NA,44,200,29,40,760,73,3171,670,14,20,1910,7,62,534,253,115,NA,20,6,45,49,64,2084,69,14,29,NA,251,120,8,24,19
"96","Bungo",13718,31,1766,NA,176,116,3,26,415,87,4037,655,13,7,968,91,141,1358,479,107,NA,NA,48,139,9,211,2323,34,31,6,28,258,145,2,NA,7
"97","Kota Jambi",16987,92,1754,35,109,359,234,39,967,93,3939,1153,177,15,1330,175,330,846,1737,482,111,193,394,115,28,42,1488,21,39,1,115,199,221,94,56,4
"98","Kota Sungai Penuh",16313,47,3546,41,268,279,271,20,194,1922,3326,1155,3,NA,92,57,23,531,998,398,NA,39,47,3,3,320,1385,27,364,NA,17,302,461,101,13,61
"99","Ogan Komering Ulu",10828,NA,776,8,20,141,54,98,267,2271,757,1443,15,4,1872,21,50,529,545,163,NA,7,NA,303,12,203,533,26,257,23,4,228,163,12,24,NA
"100","Ogan Komering Ilir",16650,19,475,57,29,228,30,870,2768,281,1538,1789,158,3,1962,188,124,2836,731,118,174,296,136,80,5,137,199,32,448,7,55,152,653,19,NA,54
"101","Muara Enim",10862,3,659,NA,NA,127,24,25,312,207,3392,848,5,56,2279,48,121,509,297,132,NA,115,68,30,NA,105,512,55,447,12,24,120,260,35,NA,35
"102","Lahat",10811,8,916,4,9,14,31,112,285,2205,1695,1785,69,23,1372,36,76,299,397,155,NA,30,4,14,2,65,450,48,148,11,7,121,373,21,18,9
"103","Musi Rawas",9126,6,586,22,NA,40,66,8,926,73,2890,1051,12,17,1273,13,76,252,113,86,16,20,NA,65,NA,83,800,8,43,NA,11,354,187,27,NA,3
"104","Musi Banyuasin",14257,13,866,8,NA,66,159,238,1756,26,3198,1326,7,38,2531,5,25,1065,335,156,NA,26,10,74,4,151,748,40,454,8,185,403,280,25,NA,31
"105","Banyu Asin",15721,12,930,15,2,828,113,750,2497,713,2186,1105,186,40,1821,44,58,1655,528,175,34,70,113,133,1,19,541,44,459,47,69,116,336,55,NA,26
"106","Ogan Komering Ulu Selatan",8171,19,469,5,10,4,25,186,64,2104,1215,1050,12,5,1235,10,6,230,22,51,NA,3,7,93,11,148,366,117,303,93,3,58,245,NA,NA,2
"107","Ogan Komering Ulu Timur",10506,8,465,8,NA,79,34,212,1606,947,845,2114,42,19,1677,89,142,664,168,11,NA,10,10,182,5,299,187,38,115,5,7,164,297,33,NA,24
"108","Ogan Ilir",12090,NA,260,NA,NA,138,50,16,1567,82,1891,688,3,41,2533,62,47,2553,429,89,NA,1,18,43,NA,55,373,42,541,5,43,230,283,6,NA,2
"109","Empat Lawang",6701,56,722,67,NA,15,16,NA,46,1003,1368,763,19,NA,486,NA,54,692,151,NA,NA,24,3,7,8,17,451,43,103,9,8,161,354,8,15,31
"110","Penukal Abab Lematang Ilir",8912,NA,341,4,NA,44,44,24,644,35,2173,872,3,58,2740,19,NA,573,93,22,NA,67,5,16,1,34,340,8,471,11,43,184,30,4,NA,11
"111","Musi Rawas Utara",12594,45,1241,NA,6,NA,109,36,1044,64,3487,585,11,NA,2032,24,5,1727,85,12,NA,72,64,197,7,103,891,10,134,NA,28,373,192,3,2,4
"112","Kota Palembang",16442,52,1053,188,72,609,36,125,1095,1699,1386,1833,117,NA,2066,80,514,1020,1852,742,88,272,76,181,5,29,355,17,332,12,27,119,303,41,41,7
"113","Kota Prabumulih",9731,2,908,NA,7,43,10,26,382,24,2523,1513,11,3,1785,12,107,340,542,245,NA,89,5,14,NA,61,299,52,291,2,7,158,199,3,9,61
"114","Kota Pagar Alam",7801,46,709,NA,3,60,24,7,5,1081,2282,1289,27,NA,568,22,34,171,74,28,NA,6,0,9,NA,59,619,36,165,NA,2,133,278,22,41,1
"115","Kota Lubuklinggau",11435,NA,1630,99,26,12,45,36,342,96,3392,1037,174,NA,1223,71,270,223,1065,339,26,70,6,20,NA,54,554,5,147,2,19,201,203,31,3,14
"116","Bengkulu Selatan",12935,70,2370,153,12,54,49,9,333,59,5004,371,241,24,52,17,27,1728,765,115,8,152,74,3,12,59,701,9,24,NA,29,292,97,NA,23,NA
"117","Rejang Lebong",8199,25,2373,28,NA,NA,74,27,58,378,2198,345,130,NA,184,NA,NA,147,174,55,NA,2,NA,26,6,82,1001,12,197,5,53,219,348,12,NA,42
"118","Bengkulu Utara",11055,78,3274,16,22,88,24,44,132,62,3314,328,123,2,36,6,124,1019,416,67,NA,5,3,95,NA,61,1040,106,72,3,NA,195,225,28,NA,46
"119","Kaur",14178,107,4072,89,NA,41,79,46,393,68,3984,544,210,237,64,5,14,1765,1203,200,152,119,98,12,4,79,275,NA,6,NA,4,164,110,15,NA,17
"120","Seluma",9965,28,1842,38,NA,NA,51,NA,783,136,2982,382,13,NA,10,13,3,1724,402,14,25,180,56,NA,9,32,619,28,62,NA,12,276,241,NA,NA,5
"121","Mukomuko",12470,212,3195,250,31,250,124,33,240,199,2853,807,89,NA,36,15,14,1558,675,173,34,110,10,41,13,57,821,113,20,NA,NA,176,274,9,NA,39
"122","Lebong",12303,NA,1919,NA,NA,9,45,20,303,220,4685,855,64,NA,67,16,19,918,303,41,NA,49,31,24,1,65,1729,30,200,NA,12,395,222,11,5,45
