"","kabupaten_kota","ikan","ekor_kuning","tongkol_tuna_cakalang_dencis_ikan_kayu","tenggiri","selar","kembung_lema_tatare_banyar_banyara","teri","bandeng","gabus","mujair","mas_nila","lele","kakap","baronang","patin","bawal","gurame","ikan_segar_basah_lainnya","udang_lobster","cumi_cumi_sotong_gurita","ketam_kepiting_rajungan","kerang_siput_bekicot_remis","udang_dan_hewan_air_lainnya_yang_segar_lainnya","kembung_diawetkan_peda","tenggiri_diawetkan","tongkol_tuna_cakalang_diawetkan","teri_diawetkan","selar_diawetkan","sepat_diawetkan","bandeng_diawetkan","gabus_diawetkan","ikan_dalam_kaleng_sardencis_tuna_dalam_kaleng_dsb","ikan_diawetkan_lainnya","udang_diawetkan_ebi_rebon","cumi_cumi_sotong_gurita_diawetkan","udang_dan_hewan_air_lainnya_yang_diawetkan"
"123","Kepahiang",8379,36,3038,75,NA,18,29,5,84,595,1658,257,51,NA,87,10,NA,323,4,22,NA,22,31,13,5,33,1102,39,217,NA,32,216,332,NA,22,23
"124","Bengkulu Tengah",10337,146,3297,16,NA,42,69,15,292,212,2962,354,44,NA,8,11,15,1064,465,NA,19,NA,27,12,7,40,675,51,139,NA,19,168,155,8,NA,7
"125","Kota Bengkulu",14815,129,3363,37,22,55,89,3,273,640,2748,775,383,7,86,58,149,2050,1857,506,87,14,56,15,NA,16,637,14,146,4,79,280,176,6,33,23
"126","Lampung Barat",9820,79,1648,145,8,102,112,151,209,1426,2535,906,NA,NA,116,11,3,194,162,132,7,38,21,276,11,200,260,101,188,19,72,90,573,6,NA,22
"127","Tanggamus",7856,181,1214,176,572,722,255,112,95,109,1351,1100,24,12,15,82,9,900,55,123,NA,42,12,58,26,6,133,156,30,5,7,33,226,4,NA,10
"128","Lampung Selatan",11126,163,1089,123,429,1271,187,454,328,290,744,1175,108,9,571,607,160,757,354,696,85,68,7,177,2,68,299,259,154,13,45,70,332,17,12,2
"129","Lampung Timur",8366,72,379,43,42,334,109,483,459,205,1124,1579,67,7,719,334,193,532,250,264,NA,19,12,33,43,205,156,137,11,11,14,40,400,42,12,37
"130","Lampung Tengah",8058,43,391,NA,15,84,19,145,1291,94,1134,1617,10,3,661,28,146,565,126,68,NA,22,34,88,NA,259,196,141,73,15,2,44,640,17,NA,88
"131","Lampung Utara",8116,51,638,8,31,86,45,446,312,39,2546,1135,5,9,820,19,90,536,55,40,NA,3,NA,40,3,303,197,134,34,14,6,28,409,8,NA,25
"132","Way Kanan",9120,6,485,3,27,142,14,97,453,31,1643,1892,11,11,1590,25,168,714,155,51,3,4,23,152,21,206,110,17,20,9,NA,114,897,13,7,9
"133","Tulangbawang",8667,0,301,NA,12,55,16,652,971,122,1943,1061,145,2,627,38,39,575,977,105,19,3,68,17,2,93,143,167,11,4,NA,37,448,7,NA,6
"134","Pesawaran",8197,277,1121,144,320,571,173,123,144,178,741,1171,5,158,174,102,121,612,194,410,30,152,2,53,2,152,337,99,47,3,1,70,419,16,32,43
"135","Pringsewu",7566,57,1406,15,138,284,32,2,62,213,1153,2181,19,NA,242,15,132,229,207,103,NA,0,1,36,5,271,369,130,25,5,NA,29,168,22,5,10
"136","Mesuji",9049,NA,337,NA,19,196,34,702,1684,91,1079,1678,12,27,726,38,97,712,322,8,NA,32,44,11,NA,188,88,74,2,7,38,66,703,18,NA,14
"137","Tulang Bawang Barat",8069,6,252,NA,NA,125,38,149,709,12,1621,1831,18,16,1195,49,61,588,132,80,NA,3,NA,51,4,150,57,83,11,NA,NA,135,592,2,NA,97
"138","Pesisir Barat",14020,182,3326,823,197,732,78,107,444,1247,1848,718,407,254,65,26,40,1187,387,473,115,211,236,189,33,74,353,36,69,6,NA,7,123,7,NA,20
"139","Kota Bandar Lampung",15463,152,1342,145,480,1473,424,54,112,78,1811,1875,165,34,548,110,816,1606,1657,1428,42,59,22,126,1,38,230,70,108,NA,38,105,260,18,22,12
"140","Kota Metro",12177,124,1580,8,53,579,14,80,385,NA,1722,2271,24,NA,989,106,770,625,1067,725,44,1,43,120,13,366,181,69,23,NA,30,50,94,10,9,5
"141","Bangka",23119,1039,3670,1084,3276,2586,134,234,548,65,476,580,162,NA,180,41,42,5412,1627,709,268,185,NA,18,33,105,34,74,2,NA,3,95,432,6,NA,NA
"142","Belitung",27348,2333,2880,863,1377,3126,58,2,294,4,56,442,193,416,70,11,NA,9467,1718,1988,742,410,NA,66,NA,22,93,193,17,10,0,259,222,NA,16,NA
"143","Bangka Barat",21009,383,2606,545,2546,2838,82,124,501,27,129,411,303,45,44,15,17,4713,2374,1107,525,265,108,111,11,84,245,31,1,NA,NA,155,547,74,41,NA
"144","Bangka Tengah",19491,287,1906,442,2177,1452,45,227,575,26,383,647,88,208,168,66,49,7270,980,1133,242,87,41,38,NA,88,23,34,NA,14,NA,137,631,11,17,NA
"145","Bangka Selatan",18853,642,1606,581,1298,1753,56,1519,960,94,205,368,425,81,389,633,8,3826,1126,1466,240,264,NA,15,1,226,170,117,11,12,46,131,559,NA,26,NA
"146","Belitung Timur",29002,2655,3274,1302,1939,1546,43,13,669,16,191,870,94,310,128,71,12,9327,1143,2946,421,216,NA,76,3,128,119,423,5,NA,60,446,526,NA,26,NA
"147","Kota Pangkal Pinang",23292,457,2631,2176,3323,1942,20,147,79,61,332,814,240,83,184,312,108,4397,2939,1594,133,204,NA,42,100,52,54,62,3,5,NA,241,511,11,37,NA
"148","Karimun",23986,168,2158,2042,1919,1887,563,174,106,211,44,545,655,130,167,398,235,4718,3489,1238,182,165,17,235,18,42,1349,43,32,7,9,458,386,74,106,18
"149","Bintan",18678,645,3267,377,1739,2089,483,33,93,80,69,1164,87,45,50,62,25,3003,948,1761,262,187,380,142,1,80,907,62,10,NA,21,58,430,21,40,55
"150","Natuna",19043,381,9014,127,106,599,58,NA,92,6,NA,199,287,52,NA,NA,25,4353,863,1549,264,81,71,53,52,221,362,18,4,NA,NA,23,143,10,NA,28
"151","Lingga",23008,480,1098,822,1934,1247,427,NA,37,29,6,220,62,1120,110,432,156,7365,1615,2245,530,119,172,74,71,22,1299,35,NA,6,NA,322,862,4,37,53
"152","Kepulauan Anambas",17933,904,7389,78,1843,534,128,9,NA,22,6,85,185,162,NA,NA,36,3994,88,1689,69,16,6,4,NA,37,204,198,NA,NA,NA,32,152,8,10,46
"153","Kota Batam",24085,255,2885,757,1304,1683,295,201,134,1561,243,1491,1066,216,436,496,116,2244,2800,2116,405,99,66,195,9,23,2230,48,75,44,49,177,269,59,29,8
"154","Kota Tanjung Pinang",22139,560,3187,325,2720,1739,73,33,136,63,67,1202,417,48,275,155,102,3310,2729,1849,189,295,172,83,NA,50,1339,35,67,NA,6,353,476,27,53,0
"155","Kep. Seribu",20611,1714,6451,153,1511,1239,560,576,NA,42,17,69,248,1266,6,91,17,2831,667,1988,204,104,20,37,27,11,352,199,7,5,NA,55,104,17,19,5
"156","Kota Jakarta Selatan",15873,207,1124,33,198,1974,190,743,84,534,1458,1906,173,47,332,775,1074,252,1680,375,18,97,176,56,8,289,583,8,124,164,168,102,150,60,688,24
"157","Kota Jakarta Timur",17908,227,1279,156,275,1983,149,764,177,898,1657,2470,212,45,358,608,751,149,1877,784,124,112,17,103,16,299,908,75,129,108,182,291,108,53,515,50
"158","Kota Jakarta Pusat",12148,94,1179,254,133,1907,166,573,32,597,521,1380,304,21,174,792,731,79,1115,643,NA,16,248,70,12,294,285,18,80,25,114,30,49,11,198,0
"159","Kota Jakarta Barat",16413,142,760,471,402,2196,135,1532,62,991,688,1061,251,81,148,1024,803,183,1788,901,63,72,57,98,14,162,776,26,222,182,190,188,71,121,535,16
"160","Kota Jakarta Utara",20242,350,1758,606,184,2573,166,1495,89,926,540,1374,600,248,284,1179,779,252,2340,1403,2,129,287,222,4,286,815,29,86,120,121,346,189,107,307,43
"161","Bogor",9185,45,524,6,55,500,75,219,143,414,1647,497,86,8,37,171,114,59,467,199,3,11,16,168,22,818,1225,119,268,137,164,114,256,194,358,48
"162","Sukabumi",10543,37,710,31,33,204,137,50,31,628,2687,196,78,NA,8,251,29,511,280,269,NA,6,35,278,18,585,1370,318,575,61,175,106,233,323,247,42
"163","Cianjur",9016,NA,132,20,35,135,161,158,20,505,2434,134,34,NA,76,459,49,144,219,139,54,13,17,468,9,657,1028,169,396,285,151,176,453,97,146,42
"164","Bandung",7960,NA,170,36,9,371,17,276,30,528,2203,253,48,14,188,66,201,33,370,337,75,7,38,412,49,500,74,118,507,463,16,95,134,6,308,9
"165","Garut",6034,7,316,7,22,25,4,85,13,661,2296,149,11,2,17,283,54,105,49,109,NA,1,NA,380,1,266,18,135,306,276,15,42,294,8,73,2
"166","Tasikmalaya",7324,13,178,NA,15,16,48,181,46,1612,2306,181,7,NA,41,205,210,125,127,70,NA,21,19,663,2,273,148,36,125,273,2,97,171,23,79,12
"167","Ciamis",7279,12,57,NA,4,28,8,98,52,2970,1227,218,124,NA,15,124,292,116,227,31,NA,17,33,409,2,94,120,69,71,257,11,188,312,12,50,29
"168","Kuningan",6519,NA,85,NA,NA,73,14,142,52,1565,901,439,5,NA,14,120,383,109,218,243,NA,60,27,300,13,76,245,122,85,451,1,93,441,102,91,48
"169","Cirebon",4813,20,172,22,NA,365,43,563,90,499,215,474,60,4,55,57,176,207,332,326,12,84,18,89,1,217,98,39,47,235,8,17,210,10,34,14
"170","Majalengka",4761,NA,52,2,17,23,17,66,111,809,1150,297,10,9,43,57,85,177,93,100,NA,11,7,241,4,322,120,111,117,167,3,31,345,69,60,33
"171","Sumedang",6545,NA,153,NA,8,79,9,60,6,1238,1862,177,4,NA,78,35,43,34,157,60,NA,35,NA,352,45,372,125,238,425,182,18,93,506,44,84,25
"172","Indramayu",9559,41,209,66,58,341,94,1168,253,876,523,1204,105,21,23,279,285,559,647,1049,157,75,53,224,7,69,235,151,51,210,31,105,278,51,59,2
"173","Subang",8329,91,213,59,14,339,70,328,170,664,2567,367,2,38,167,154,105,95,211,133,63,14,49,363,6,284,340,188,297,150,50,118,468,35,92,27
"174","Purwakarta",9466,NA,87,40,2,127,16,46,22,157,3457,318,67,NA,162,119,38,46,330,170,31,1,26,232,80,523,1048,210,543,470,138,140,379,62,309,68
"175","Karawang",9243,40,172,30,41,290,363,1233,470,1310,1248,739,51,23,196,70,238,186,413,338,19,26,45,177,3,268,546,25,92,117,65,149,67,65,124,6
"176","Bekasi",12717,87,569,10,45,1095,301,1113,332,1101,1304,1562,71,NA,110,283,318,193,799,361,12,28,40,128,24,410,1273,77,132,222,119,149,50,63,309,28
"177","Bandung Barat",7052,NA,91,NA,5,150,25,66,8,161,2304,222,51,NA,225,58,18,37,202,228,NA,36,9,439,22,543,312,202,539,544,58,86,223,23,158,9
"178","Pangandaran",12071,NA,662,61,138,1003,42,535,549,3243,1209,282,26,6,35,212,170,1544,639,374,45,265,108,393,2,74,56,38,31,48,17,182,39,17,23,1
"179","Kota Bogor",12607,21,304,128,68,728,38,493,64,885,1406,1048,140,25,103,200,725,151,1293,416,NA,31,18,140,11,788,1260,421,229,100,122,333,221,140,532,24
"180","Kota Sukabumi",8614,NA,236,NA,8,349,19,54,NA,211,2107,110,16,NA,31,44,76,60,461,464,NA,2,68,164,5,1105,954,417,438,87,174,143,272,168,337,33
"181","Kota Bandung",10533,54,260,85,6,734,7,180,47,467,2396,432,196,10,414,203,685,150,1132,567,77,54,145,227,34,480,181,76,270,225,40,114,231,36,298,17
"182","Kota Cirebon",8708,124,217,182,7,792,36,612,20,731,418,583,296,8,94,77,556,236,1287,680,NA,117,232,60,NA,12,129,11,72,535,35,102,310,25,91,19
"183","Kota Bekasi",19591,385,1397,254,228,2039,105,959,126,985,1758,2045,283,87,246,815,957,390,2331,779,88,155,32,96,20,296,1098,38,127,208,224,247,159,128,489,19
"184","Kota Depok",16426,93,1106,141,180,1884,99,381,42,951,2071,1739,173,6,215,297,797,176,1715,635,18,116,131,84,4,452,964,49,181,127,264,194,381,109,596,58
"185","Kota Cimahi",9821,16,253,128,1,607,22,183,96,231,2423,330,177,NA,328,200,612,191,1242,493,17,45,138,204,12,466,66,72,226,314,62,105,156,50,324,31
"186","Kota Tasikmalaya",8170,NA,99,NA,NA,87,12,161,66,2410,1494,301,21,NA,40,92,657,77,557,583,39,92,61,155,NA,310,94,24,59,236,10,192,112,3,109,16
"187","Kota Banjar",7301,NA,84,6,NA,NA,18,110,234,3225,876,439,69,NA,78,144,282,176,152,114,NA,2,19,328,2,51,131,6,116,112,17,142,249,10,110,2
"188","Cilacap",5239,74,77,4,4,433,13,345,357,1383,201,517,15,3,66,158,203,485,270,16,6,7,44,190,5,26,27,9,30,105,4,44,100,7,NA,12
"189","Banyumas",5525,107,222,11,NA,191,39,395,33,864,190,902,14,NA,93,148,253,267,212,34,NA,2,20,215,27,369,90,22,24,465,11,38,171,62,1,32
"190","Purbalingga",3111,NA,184,12,NA,49,14,134,19,99,59,684,5,NA,72,198,125,93,97,95,NA,NA,NA,90,15,533,121,25,13,165,NA,11,137,53,3,8
"191","Banjarnegara",6259,3,310,NA,NA,30,25,478,5,1626,234,856,20,NA,78,134,142,193,50,37,NA,NA,NA,161,18,363,142,58,19,132,NA,11,1080,11,NA,45
"192","Kebumen",4370,13,144,34,20,211,26,337,227,92,259,822,2,NA,80,136,128,833,280,27,NA,11,40,122,2,134,98,9,5,127,5,9,122,11,NA,3
"193","Purworejo",4508,NA,107,5,4,5,17,417,240,63,324,1263,NA,NA,108,127,141,479,359,NA,NA,NA,23,113,NA,137,66,7,NA,75,NA,32,355,34,NA,6
"194","Wonosobo",4684,NA,57,NA,NA,8,NA,24,9,524,713,418,31,NA,16,81,45,61,284,215,NA,28,NA,447,2,331,45,41,11,75,6,14,1117,51,1,29
"195","Magelang",3589,18,81,10,NA,10,4,104,39,173,532,1058,7,NA,35,198,46,70,113,18,NA,0,4,72,12,146,91,39,14,213,15,34,386,37,NA,11
"196","Boyolali",3925,NA,84,NA,NA,38,23,81,14,93,169,1357,315,NA,73,32,89,83,104,89,NA,NA,9,90,NA,162,148,5,14,753,NA,9,64,11,1,14
"197","Klaten",4468,NA,130,7,NA,32,23,613,29,15,261,1797,91,NA,104,47,14,78,82,12,NA,23,2,35,29,170,150,12,11,539,1,28,85,29,7,12
"198","Sukoharjo",5527,39,126,62,NA,9,41,514,46,76,385,1560,244,29,371,78,90,40,292,157,NA,34,10,81,41,119,107,41,1,678,5,119,64,68,NA,0
"199","Wonogiri",4626,10,337,NA,13,15,50,378,6,97,1228,1062,48,NA,47,3,34,91,81,15,NA,3,3,14,7,261,181,29,NA,417,7,11,154,10,NA,12
"200","Karanganyar",4690,NA,69,30,16,39,56,507,21,43,214,1490,304,3,189,28,96,18,121,44,NA,NA,NA,19,16,248,174,40,10,785,13,6,53,29,NA,10
"201","Sragen",5980,5,106,NA,52,26,105,790,10,83,584,1887,108,NA,216,18,32,41,132,61,20,13,16,34,7,165,226,58,16,1002,23,10,48,72,6,9
"202","Grobogan",4106,NA,57,4,1,80,29,335,171,127,324,1486,23,NA,32,131,29,106,95,71,NA,15,16,238,NA,175,135,118,12,79,3,2,174,5,2,30
"203","Blora",4500,11,65,40,NA,28,22,431,59,40,136,1179,148,NA,69,5,133,185,236,20,NA,23,16,289,NA,261,140,206,31,72,NA,43,560,10,NA,42
"204","Rembang",8426,360,518,96,270,717,126,733,26,157,166,452,63,26,42,33,32,1181,463,862,72,18,52,140,12,248,42,100,5,NA,NA,8,1350,12,2,44
"205","Pati",12405,78,100,9,24,632,135,2481,252,1366,869,1443,26,NA,93,212,152,558,1572,372,116,122,37,182,NA,405,119,43,NA,60,5,36,884,3,2,18
"206","Kudus",10112,153,152,44,32,362,155,1344,601,714,864,2284,141,1,88,186,108,287,902,584,108,32,10,254,7,274,96,20,2,98,29,21,157,1,3,NA
"207","Jepara",9643,216,1118,91,134,1541,108,1202,95,398,161,693,34,14,61,88,68,977,681,813,12,32,65,95,8,556,167,14,NA,12,NA,16,161,5,6,1
"208","Demak",10552,91,225,25,56,508,124,987,722,558,928,1992,47,20,196,323,205,677,805,378,179,55,50,107,5,296,298,25,6,92,10,24,505,3,5,25
"209","Semarang",5907,NA,59,14,NA,40,50,505,31,933,350,1208,46,NA,96,211,174,121,389,210,NA,32,NA,157,8,192,137,29,30,510,NA,15,354,4,NA,2
"210","Temanggung",3126,4,213,16,NA,4,8,35,19,101,454,762,6,NA,43,107,NA,134,35,63,NA,7,NA,45,8,221,115,101,72,138,1,2,374,30,7,0
"211","Kendal",6652,24,172,62,34,222,17,680,109,539,197,986,74,NA,58,244,114,348,548,602,104,33,36,124,85,131,189,43,30,144,2,24,577,6,14,79
"212","Batang",7066,88,307,22,13,151,16,474,11,308,195,1070,37,NA,50,484,52,254,321,537,4,10,17,253,73,939,221,91,22,13,5,16,933,16,41,15
"213","Pekalongan",6487,85,211,70,54,112,31,601,37,328,143,1173,99,NA,50,318,104,170,451,369,32,10,9,131,68,515,143,265,24,38,NA,11,809,8,7,13
"214","Pemalang",5273,4,246,56,10,311,140,511,24,174,61,553,74,NA,13,240,131,222,397,512,11,22,10,258,75,289,98,122,19,131,7,7,461,4,6,76
"215","Tegal",4629,15,171,71,120,477,43,337,11,215,46,715,153,3,NA,178,23,216,336,365,138,14,7,146,46,231,61,30,15,32,9,36,359,4,2,5
"216","Brebes",4126,29,143,28,4,207,63,550,38,443,54,503,38,8,28,137,34,181,354,359,14,24,32,338,NA,111,98,24,18,163,3,1,80,4,11,5
"217","Kota Magelang",6258,NA,197,12,NA,224,9,305,NA,32,996,1620,55,NA,50,86,452,217,803,251,NA,43,19,3,NA,222,30,6,16,225,NA,85,264,17,NA,16
"218","Kota Surakarta",5550,11,98,46,25,87,49,560,NA,NA,437,1312,547,5,246,24,185,42,472,302,78,18,2,10,8,76,80,3,11,602,NA,60,129,16,7,3
"219","Kota Salatiga",8729,30,157,82,NA,132,20,230,98,1566,637,1084,234,1,103,91,246,453,731,590,NA,84,1,190,6,155,171,69,1,1024,8,42,452,11,NA,31
"220","Kota Semarang",11155,28,267,100,NA,217,125,840,50,562,821,1707,278,NA,103,300,867,589,1479,807,119,84,72,163,NA,247,128,19,1,457,6,106,520,42,4,49
"221","Kota Pekalongan",6325,107,298,89,16,221,77,920,63,419,59,714,120,NA,18,151,90,333,982,632,6,44,79,22,12,420,60,50,2,73,8,36,199,0,NA,7
"222","Kota Tegal",7876,20,387,212,25,1082,107,471,12,429,44,501,401,NA,NA,125,71,387,687,1011,16,156,54,326,20,561,28,14,5,138,18,91,412,17,39,10
"223","Kulon Progo",3469,89,404,62,NA,103,22,168,130,13,295,636,NA,NA,52,84,23,354,381,21,38,12,3,266,NA,76,54,3,NA,148,NA,27,2,5,NA,NA
"224","Bantul",5376,NA,415,43,3,102,34,220,55,26,728,1396,14,3,109,144,236,131,526,293,64,11,5,33,6,407,113,4,NA,196,NA,54,0,7,NA,NA
"225","Gunung Kidul",5583,71,1028,19,NA,193,356,337,50,158,461,1168,45,6,106,148,19,385,171,24,NA,30,NA,61,NA,109,56,10,NA,248,2,22,264,38,NA,0
"226","Sleman",8025,28,457,192,14,204,14,134,78,34,1532,1610,113,NA,154,155,356,270,659,378,29,40,NA,599,15,101,121,13,3,669,2,37,NA,4,5,6
"227","Kota Yogyakarta",6649,52,534,60,10,199,84,275,25,5,877,1406,276,9,218,47,294,174,795,274,NA,9,NA,126,NA,276,104,8,NA,400,NA,85,NA,16,6,5
"228","Pacitan",4346,16,634,6,4,677,193,262,NA,4,86,299,NA,NA,25,8,3,1372,167,8,NA,NA,53,5,1,145,185,11,NA,17,NA,1,121,20,NA,24
"229","Ponorogo",4077,20,1021,51,13,84,48,332,22,NA,174,893,4,NA,303,NA,110,396,149,20,NA,NA,4,13,6,198,150,12,6,7,NA,NA,31,5,NA,5
"230","Trenggalek",6571,64,1218,27,182,427,763,58,13,NA,20,606,7,NA,74,18,71,1551,141,18,NA,15,7,3,22,617,318,3,1,2,NA,NA,317,8,NA,2
"231","Tulungagung",8209,52,993,66,41,190,340,371,63,49,233,2136,20,NA,394,5,639,547,254,53,NA,10,8,63,51,672,319,21,18,73,1,44,432,33,NA,17
"232","Blitar",3814,10,273,NA,NA,0,21,101,27,97,173,1026,14,NA,267,12,114,195,99,14,NA,54,31,71,11,572,103,12,7,8,4,11,392,77,NA,20
"233","Kediri",3707,NA,152,13,1,17,36,334,13,50,75,1546,1,NA,130,37,158,70,70,27,7,29,28,19,NA,117,105,87,28,6,3,4,430,76,9,26
"234","Malang",5698,15,807,23,1,73,32,549,NA,820,85,774,26,6,58,2,121,86,573,63,NA,21,17,113,1,584,102,217,28,60,4,5,407,8,NA,14
"235","Lumajang",11390,333,852,69,44,342,405,579,67,1403,411,1537,2,NA,39,1,561,306,940,211,40,64,31,133,29,2113,339,24,4,32,2,1,380,41,17,35
"236","Jember",6665,381,960,81,4,143,96,52,61,137,258,771,6,2,4,5,340,400,339,220,8,24,121,99,24,1355,349,34,34,NA,4,27,216,94,1,14
"237","Banyuwangi",6972,135,1307,88,46,449,214,50,7,38,100,343,41,NA,22,NA,63,1281,984,367,45,111,143,283,12,370,166,17,11,8,3,24,163,33,25,22
"238","Bondowoso",6155,227,550,30,14,46,82,20,NA,34,186,460,14,NA,NA,NA,121,254,723,125,NA,2,16,31,27,2006,564,67,2,NA,10,27,347,112,4,52
"239","Situbondo",7869,268,1891,66,147,222,429,28,NA,86,25,223,150,NA,1,NA,131,1963,748,358,NA,53,11,54,6,36,654,25,9,1,NA,NA,249,20,NA,14
"240","Probolinggo",8166,611,2373,35,112,733,195,99,14,205,146,213,29,NA,2,75,81,1215,502,409,70,78,44,62,7,211,232,19,28,NA,NA,2,320,8,NA,34
"241","Pasuruan",8446,61,923,18,53,277,262,809,26,1635,100,503,65,3,47,31,122,141,970,248,58,97,259,150,17,830,144,49,33,4,7,21,372,41,9,62
"242","Sidoarjo",14188,191,671,71,25,165,106,1693,58,2822,332,1839,120,18,381,48,869,144,2233,729,102,215,403,71,8,362,137,1,14,45,3,121,129,40,4,14
"243","Mojokerto",9648,42,443,3,4,41,68,1472,77,2179,213,1377,8,5,292,31,390,153,1318,83,62,87,111,15,8,273,145,26,106,126,9,14,388,47,NA,34
"244","Jombang",6360,36,260,4,NA,1,59,750,60,873,110,1308,30,11,296,24,226,95,571,37,23,19,48,24,7,618,169,134,88,34,7,38,321,38,11,26
"245","Nganjuk",3997,1,89,NA,NA,21,64,331,64,62,207,1635,12,NA,96,19,157,122,184,15,NA,NA,8,33,NA,342,189,114,16,50,1,NA,115,39,NA,10
"246","Madiun",3955,43,249,36,1,29,49,375,NA,64,194,1326,24,NA,74,12,174,28,120,24,NA,27,7,68,78,341,305,79,39,32,1,17,124,16,NA,NA
"247","Magetan",4539,4,460,8,7,9,39,474,10,NA,233,1698,NA,NA,128,20,197,31,172,27,16,7,7,93,22,445,129,35,14,102,0,28,102,21,NA,NA
"248","Ngawi",5307,NA,60,NA,NA,16,150,370,NA,80,238,2139,6,NA,550,10,155,42,57,30,11,15,6,28,NA,195,201,142,27,703,NA,NA,71,4,NA,4
"249","Bojonegoro",5674,4,43,5,NA,8,70,618,106,285,236,1696,13,NA,228,8,157,95,235,23,NA,NA,11,137,54,381,262,23,7,34,1,11,871,6,NA,47
"250","Tuban",9763,541,528,132,64,232,81,509,137,412,190,1107,10,26,104,34,79,605,576,752,65,26,29,310,112,1070,129,339,75,19,15,12,1312,26,32,76
"251","Lamongan",11399,94,398,36,23,142,58,1914,599,2777,382,996,13,8,117,19,17,570,1171,485,33,62,122,272,12,254,151,27,13,161,26,6,419,3,10,9
"252","Gresik",14446,60,398,57,71,172,179,2773,211,2763,225,1182,59,9,244,46,482,341,2409,728,242,222,34,76,31,671,127,29,50,82,21,125,253,25,50,NA
"253","Bangkalan",9576,327,900,150,56,401,242,998,42,663,117,594,142,20,13,85,94,458,593,351,157,305,74,296,97,847,398,113,30,249,7,6,686,11,NA,56
"254","Sampang",10914,151,2080,77,403,1138,409,640,18,168,20,258,45,NA,NA,81,10,1922,312,251,43,12,49,178,33,1371,127,425,19,79,35,2,487,NA,NA,71
