"","kabupaten_kota","makanan_dan_minuman_jadi","roti_tawar","roti_manis_roti_lainnya","kue_kering_biskuit_semprong","kue_basah_kue_lapis_bika_ambon_lemper_dsb","makanan_gorengan","bubur_kacang_hijau","gado_gado_ketoprak_pecel","nasi_campur_rames","nasi_goreng","nasi_putih","lontong_ketupat_sayur","soto_gule_sop_rawon_cincang","sayur_matang_ditumis_disantan_dsb","sate_tongseng","mie_bakso_mie_rebus_mie_goreng","mie_instan","makanan_ringan_anak_anak_krupuk_kripik","ikan_matang","ayam_daging_matang_ayam_goreng_rendang_dsb","daging_olahan_sosis_nugget_daging_asap_dsb_matang","bubur_ayam","siomay_batagor","makanan_jadi_lainnya","air_kemasan","air_kemasan_galon","air_teh_kemasan_minuman_bersoda_mengandung_co2","sari_buah_kemasan_minuman_kesehatan_minuman_berenergi","minuman_jadi_kopi_kopi_susu_teh_susu_coklat_dsb","es_krim","es_lainnya","minuman_keras"
"251","Lamongan",43337,310,1091,1039,1667,2627,449,1563,1418,2985,1395,627,2323,743,555,5527,481,2204,670,1430,944,158,588,1165,609,2738,284,361,4557,963,1868,2
"252","Gresik",59080,584,1595,1473,1909,2978,542,2427,3465,3544,1160,722,2633,746,1179,7027,446,2760,956,1574,1901,525,1265,1720,1379,4140,615,901,5579,1114,2217,4
"253","Bangkalan",25194,272,886,464,943,1591,412,1544,1882,1448,397,954,1371,147,478,2600,480,1881,296,450,495,135,296,1018,508,572,450,238,1648,355,971,10
"254","Sampang",20301,77,820,415,676,1656,70,1013,2790,831,123,832,524,23,329,1744,123,2211,49,174,427,25,132,1544,688,366,369,339,1116,491,322,NA
"255","Pamekasan",23921,224,674,797,1068,1169,127,691,5255,635,330,439,654,117,151,1990,202,2047,135,274,823,71,336,1397,824,333,277,257,1359,688,577,0
"256","Sumenep",52896,234,1563,1191,2445,3130,678,2767,7350,1896,2807,1155,4045,979,851,3542,693,2486,708,1583,853,725,464,1732,1890,506,629,568,3409,706,1307,5
"257","Kota Kediri",63746,838,1768,1934,2858,2414,423,2810,6097,4461,2927,906,2495,2626,1531,5949,236,3419,1097,2739,851,804,1213,2033,899,2412,382,782,4269,965,1606,NA
"258","Kota Blitar",65687,779,1990,1578,2826,2193,334,3127,9744,3529,1822,678,3342,3142,1569,6089,205,4294,749,2489,924,462,930,2228,814,2425,886,622,2875,1105,1759,176
"259","Kota Malang",56240,981,1454,2018,1961,1653,277,1537,6081,2969,1821,255,2808,1284,1304,6215,239,3455,1219,3638,619,639,814,3086,877,2428,489,667,3641,782,941,88
"260","Kota Probolinggo",45750,478,1484,2101,2292,2074,294,1907,2756,2368,1449,322,1868,497,1057,5446,120,3588,822,1907,778,214,810,2865,483,2069,444,367,2173,947,1765,4
"261","Kota Pasuruan",61038,707,1809,1840,2379,1750,259,2212,6665,4043,1303,558,2815,832,1080,8261,276,4352,1038,2064,1461,515,1130,2530,758,2558,402,388,3475,1039,2525,14
"262","Kota Mojokerto",61060,655,2160,2114,2267,2338,340,2661,5717,4241,1928,321,3866,1720,1318,6376,110,3072,1200,2798,903,597,937,1392,535,5041,423,376,3051,1133,1464,4
"263","Kota Madiun",68764,886,2807,2051,2842,2887,925,3927,5610,2494,2089,492,2955,2455,1433,5390,310,3199,1123,3457,876,1057,1096,2618,1493,4778,626,1042,4320,1113,2400,14
"264","Kota Surabaya",72504,1177,2023,2336,2444,2472,802,3691,4366,4925,1560,1176,4465,1053,1727,7977,431,2466,1154,2363,1265,1535,1905,2158,1629,5408,811,1016,4874,1143,2140,12
"265","Kota Batu",51009,465,1495,1383,1793,1483,408,1409,5651,2939,1441,255,4735,1329,1249,7379,215,3344,456,2278,734,427,980,858,559,1062,371,363,4398,1008,544,NA
"266","Pandeglang",30121,72,1880,1194,1180,2524,235,694,2832,800,308,820,166,502,176,3573,564,2151,683,301,705,1444,806,1060,296,436,489,679,2096,677,777,NA
"267","Lebak",41640,220,2600,1596,1204,3303,339,946,4503,1545,1013,577,206,773,277,5935,1186,2546,647,827,657,1772,573,1089,651,351,756,893,2938,727,978,12
"268","Tangerang",61788,591,2605,1169,2010,3239,1249,2379,8772,2414,640,2234,1240,1208,1156,5512,676,2169,998,2180,1328,3511,2213,1734,1389,2957,516,789,2062,1016,1830,NA
"269","Serang",39326,191,2523,1301,938,3116,383,975,6173,1081,240,1145,252,288,245,4972,543,2064,290,659,758,1190,1561,723,955,1283,508,611,2290,794,1272,2
"270","Kota Tangerang",75477,1018,2775,1826,1481,2823,1409,3316,13295,3324,1011,1869,2492,1226,1508,6383,426,2224,1185,2493,1264,3470,2790,1690,1661,5231,465,1154,2624,1092,1866,84
"271","Kota Cilegon",76865,1248,3490,2642,2472,3533,1639,2423,9481,3406,248,1723,1306,951,2002,7455,276,3463,802,2000,1955,3079,4172,2586,1677,4853,447,1262,2637,1269,2369,NA
"272","Kota Serang",68240,656,2853,1829,1306,3596,779,1617,12606,2915,938,1333,914,660,799,6841,666,3292,723,1103,1281,3475,3093,2484,1563,3227,690,643,2458,1143,2726,30
"273","Kota Tangerang Selatan",78451,1644,3248,1424,2148,2515,1552,3785,8116,4164,965,1933,3690,1391,1735,6090,596,2354,1043,2972,1322,5114,3084,1433,1918,5992,1136,940,2814,1495,1823,15
"274","Jembrana",32892,302,1657,1121,1869,1401,412,478,6069,693,124,1099,653,964,661,2492,108,2330,404,912,901,76,79,555,757,1604,620,899,928,805,1626,290
"275","Tabanan",40056,598,1978,1055,2226,1797,602,556,5370,1531,210,910,938,407,951,3355,449,2601,313,1491,922,1217,120,886,886,2190,1585,1082,1598,920,1216,95
"276","Badung",66126,955,2197,1347,2336,2094,1434,959,11763,3451,771,1244,2020,1084,2129,5050,193,3197,694,2436,993,1657,752,1890,1910,4412,1488,1141,2239,1204,2731,355
"277","Gianyar",47170,528,1966,1041,2178,1976,1397,1555,6350,2327,591,640,1258,1299,1366,3900,561,1989,234,1971,978,1715,524,1136,1172,1582,1178,1331,1446,1042,1875,60
"278","Klungkung",23961,289,1201,714,1697,1048,287,520,3411,552,194,982,256,660,526,2346,85,1246,191,863,417,1094,48,615,635,1088,375,307,802,462,914,136
"279","Bangli",32302,281,1337,1263,2027,1708,742,735,4775,606,77,942,823,255,703,2614,151,2962,49,576,744,753,93,868,887,754,610,1198,2444,657,628,38
"280","Karangasem",21475,107,1410,716,1829,848,163,1201,3322,343,68,320,267,385,439,2600,57,1699,118,317,332,78,9,394,583,434,536,589,1043,477,410,382
"281","Buleleng",32406,356,1607,1184,1722,1434,284,457,5578,889,91,957,618,244,541,3345,131,2423,141,1046,668,187,40,1374,554,738,552,619,2095,632,1292,606
"282","Kota Denpasar",78047,1040,2780,1652,3289,2019,1477,995,16638,3543,1388,554,2545,1210,2206,5351,356,3200,1184,3006,1056,1335,910,2598,2432,6748,1278,1037,1806,1073,3271,67
"283","Lombok Barat",44276,278,2659,2181,1912,2553,137,810,4645,706,910,245,610,1106,465,3370,693,4800,581,1221,1252,28,82,2078,1710,941,824,707,2850,1220,2592,112
"284","Lombok Tengah",47081,230,1815,1545,1532,2131,212,1159,7488,326,2810,383,772,3304,368,2462,324,4159,859,1874,1028,32,226,1992,1603,637,1025,1352,3080,947,1391,16
"285","Lombok Timur",47215,513,2516,1813,2196,2972,306,869,6164,476,1699,488,1562,2385,428,2539,223,4963,485,1121,3306,47,469,849,798,418,914,1553,2740,1094,1307,1
"286","Sumbawa",47664,456,1919,1909,2240,2251,325,2025,7630,1131,651,229,1568,1008,589,4319,295,3330,1020,971,750,147,246,2007,2207,2486,1243,1092,1911,940,662,108
"287","Dompu",32992,129,1490,870,2209,2880,558,1211,3268,992,231,74,603,604,73,4131,649,2270,712,295,1957,60,321,961,768,807,1140,1362,1329,696,339,2
"288","Bima",33950,153,2187,1651,1175,2773,259,582,4700,956,543,9,324,459,269,3856,558,2847,785,711,3328,16,53,436,1293,326,994,604,817,678,603,6
"289","Sumbawa Barat",62819,624,3131,2741,2086,2754,261,1325,7381,1078,3024,335,1220,2148,831,4303,361,4417,2518,2441,820,183,413,2119,4191,2831,2629,2284,2649,994,730,NA
"290","Lombok Utara",33284,259,1649,1067,2280,2440,357,1268,3693,362,1047,371,905,1027,1227,1956,530,2490,396,874,1128,13,105,1338,883,407,408,662,1942,944,898,356
"291","Kota Mataram",86753,946,3833,3462,4321,3515,596,1795,10744,2359,3007,459,2765,2546,1925,6064,392,6033,2638,4375,2940,427,773,2614,3094,3182,2190,1758,2487,1856,3440,215
"292","Kota Bima",79100,492,3651,3042,2631,3776,450,1463,15985,2687,1090,66,1312,1119,1181,7582,666,4201,2451,2719,798,234,392,5198,4911,2497,2188,1444,1636,1317,1718,205
"293","Sumba Barat",15761,153,1026,444,60,1092,18,44,1622,231,1514,11,443,708,43,757,124,1057,119,1724,191,47,65,165,465,294,288,180,2437,92,42,303
"294","Sumba Timur",20782,166,1433,502,526,1181,64,225,4845,149,1156,44,345,1140,207,1353,17,588,384,666,208,23,1,904,690,271,244,486,2315,90,167,391
"295","Kupang",15832,64,770,322,886,1006,98,101,4475,91,831,NA,152,721,10,604,87,694,374,295,113,13,NA,250,488,87,196,169,2306,36,69,526
"296","Timor Tengah Selatan",24928,107,812,910,395,1243,88,143,8260,226,963,2,608,564,77,1769,148,1000,455,1150,84,13,3,816,577,87,144,214,2766,125,38,1140
"297","Timor Tengah Utara",23225,252,1101,970,1472,2107,247,251,6098,291,359,19,503,431,70,1136,82,1017,198,661,267,28,38,111,803,205,204,313,2330,233,57,1372
"298","Belu",17042,825,1738,687,816,2144,215,79,1113,446,249,2,207,138,101,1991,114,1327,111,400,224,11,257,333,673,175,226,163,1369,165,60,683
"299","Alor",20766,176,1801,667,472,1288,231,62,4551,169,709,5,420,696,51,628,120,912,514,530,44,14,33,448,1207,181,56,224,3238,166,603,551
"300","Lembata",9638,70,1730,400,737,529,27,29,792,26,813,4,33,362,18,569,40,500,718,157,24,NA,6,253,327,205,41,54,722,64,121,266
"301","Flores Timur",9588,123,1422,370,887,1136,82,201,1172,125,181,NA,35,204,8,466,9,689,205,48,6,7,41,223,147,201,54,144,1013,97,103,190
"302","Sikka",22312,209,2144,562,477,842,240,380,7088,408,410,NA,159,411,127,1174,53,912,260,187,115,45,9,568,783,712,78,377,2489,101,536,461
"303","Ende",24222,194,1745,923,1442,916,227,499,8342,105,550,NA,416,385,68,2088,66,802,573,632,45,NA,12,114,890,287,163,414,1579,88,205,453
"304","Ngada",26447,153,1616,615,950,877,237,116,1743,92,2511,9,468,2644,24,2346,148,687,1971,1580,165,12,91,194,342,42,156,332,4909,120,42,1257
"305","Manggarai",26805,97,1040,894,884,1022,NA,35,1415,104,3177,16,186,3586,42,1649,34,1471,3442,785,28,NA,32,129,310,68,5,299,5650,58,15,332
"306","Rote Ndao",8948,198,407,405,537,956,82,19,2395,175,4,NA,4,81,21,887,38,402,96,346,5,27,NA,98,526,141,34,48,592,46,73,304
"307","Manggarai Barat",28919,172,763,968,725,786,10,217,3551,367,2445,11,396,2825,135,1468,133,1300,1993,1051,168,36,124,115,881,468,470,494,6378,61,82,324
"308","Sumba Tengah",15024,104,584,501,204,800,40,7,557,80,1873,4,92,1166,23,977,110,972,409,1109,221,10,NA,273,297,32,138,212,3240,159,136,694
"309","Sumba Barat Daya",16537,94,1146,571,261,728,38,144,3623,23,1593,13,60,775,5,517,287,684,209,1020,3,4,5,248,292,19,149,343,2678,70,106,828
"310","Nagekeo",16436,192,802,341,444,500,123,139,1264,39,1859,45,220,1529,76,713,112,447,1085,1169,227,NA,NA,181,498,107,35,67,3951,70,107,92
"311","Manggarai Timur",18551,82,620,506,457,860,NA,50,1075,34,2243,NA,235,1647,14,1213,146,806,1362,303,6,2,NA,221,213,7,31,231,5721,38,NA,427
"312","Sabu Raijua",13923,59,1309,602,293,495,682,61,3396,313,480,20,139,169,36,983,132,524,110,409,29,24,2,201,846,453,711,340,738,143,102,121
"313","Malaka",14359,136,1682,853,946,1636,86,41,1131,164,154,NA,83,152,98,1288,128,924,135,428,37,25,120,628,486,75,290,346,1382,155,121,629
"314","Kota Kupang",47357,771,2077,1545,2312,2293,600,568,8899,1833,1237,66,1296,911,408,3262,200,1648,1044,2072,930,62,151,2084,2043,2497,753,2294,2231,693,383,197
"315","Sambas",30003,151,964,831,2487,2815,94,354,4160,1089,352,687,405,530,322,3094,65,1486,296,626,826,580,155,867,193,293,92,236,3386,518,2048,NA
"316","Bengkayang",26509,124,1053,1102,1083,1919,54,228,4688,832,71,77,245,381,154,2539,184,1561,166,527,530,451,5,646,499,695,216,765,2435,581,2255,445
"317","Landak",25432,114,697,708,713,2349,92,90,2794,214,163,14,11,688,462,2593,827,1012,85,345,462,595,55,1381,217,586,134,332,4330,560,1594,1215
"318","Mempawah",28353,187,885,663,947,1731,202,743,1357,1394,1206,156,316,1092,719,3039,261,1050,498,1491,1008,965,99,1486,339,476,351,336,3025,675,1577,80
"319","Sanggau",31126,174,742,688,1110,2052,51,245,6210,766,520,62,202,1063,372,1848,408,1823,406,943,364,445,139,1258,492,1327,268,255,3565,635,1827,865
"320","Ketapang",28487,251,1503,1275,1865,1893,170,1521,1560,1463,380,277,946,438,600,2167,272,1638,313,1003,442,937,203,704,133,1501,147,128,2611,730,1380,37
"321","Sintang",23841,189,508,822,850,2152,95,398,3145,477,2,120,159,468,260,1814,231,1065,52,153,435,373,850,371,277,1525,255,300,4546,688,760,500
"322","Kapuas Hulu",25893,121,986,864,1995,3316,123,267,1213,1377,654,171,193,169,348,2470,345,1012,53,161,720,1010,373,1087,104,1151,226,450,1752,874,2023,284
"323","Sekadau",28844,101,816,760,1044,1850,149,436,6324,595,131,43,381,454,198,1589,247,1002,87,434,374,499,729,204,318,968,296,283,3710,510,2103,2207
"324","Melawi",25377,86,531,833,459,2668,56,107,3758,484,370,72,98,264,390,1430,195,1216,86,510,472,706,1530,603,620,1172,255,318,3367,652,1697,372
"325","Kayong Utara",35703,120,1043,1217,2327,2482,202,2181,6542,1917,342,130,306,425,314,1786,153,1818,266,1900,809,859,100,789,71,393,267,327,3555,793,2269,NA
"326","Kubu Raya",29288,137,1093,649,1538,2136,97,951,5714,1256,211,220,266,433,371,2749,303,1335,147,436,822,549,139,1031,853,527,273,190,1713,820,2306,23
"327","Kota Pontianak",61699,430,1709,1875,2735,2713,280,1024,12692,3330,402,676,779,883,1161,5470,308,2406,489,1863,753,2980,424,3371,1501,1973,183,458,4840,1010,2980,1
"328","Kota Singkawang",57514,315,1954,1514,3939,2383,202,750,12219,1724,219,331,346,967,732,4521,247,2319,500,1588,1140,1678,227,3737,1406,1342,361,1092,6617,1069,1943,132
"329","Kotawaringin Barat",47537,534,1250,1840,2157,2502,228,1151,2488,2499,1280,361,2260,1654,856,4064,231,3040,1976,1953,1044,215,312,3848,1578,1569,816,871,2468,1223,1229,40
"330","Kotawaringin Timur",40604,299,2002,1616,2630,2782,214,920,4153,1401,690,334,1343,492,485,3044,378,3220,749,1234,804,153,105,2789,871,2032,690,1044,2153,898,938,143
"331","Kapuas",29084,299,1513,1074,2713,2797,169,991,1139,1025,432,959,2152,377,612,2471,569,1890,688,450,983,257,46,214,409,909,431,524,1684,597,708,NA
"332","Barito Selatan",36375,544,872,1136,1590,2891,293,1655,519,1928,814,1019,2129,647,739,3615,996,3469,797,729,677,356,199,972,554,1514,541,645,2327,1050,1159,NA
"333","Barito Utara",35007,289,1299,1220,1786,2107,270,855,2391,1491,144,351,3343,604,1146,3859,667,2641,1109,646,226,248,172,1015,408,1484,308,609,2512,728,987,91
"334","Sukamara",42222,276,2084,1294,1765,2498,506,968,3117,2096,224,211,2162,787,917,3025,667,2579,689,1619,1620,791,121,2865,1025,1493,773,623,3234,1424,562,209
"335","Lamandau",42051,474,1671,1555,1675,2614,392,1247,3343,1202,249,567,2111,917,1545,4164,325,2698,430,1853,1793,190,173,659,1350,2139,1349,854,2076,1308,430,700
"336","Seruyan",38404,276,1874,1598,1969,3465,244,942,1237,1472,613,295,1563,876,806,3336,512,3626,243,638,1662,180,178,1675,450,1766,1175,861,1552,1331,1619,366
"337","Katingan",38319,432,1280,1306,4388,2920,209,597,1295,1469,761,683,2382,459,816,4066,315,2497,546,1457,638,212,60,1859,308,1650,622,503,2019,799,1524,245
"338","Pulang Pisau",35106,336,2196,1246,1838,2984,148,1393,3485,811,355,903,2323,627,1156,2995,420,1856,591,830,402,46,32,1173,258,1403,691,423,1669,1227,1180,111
"339","Gunung Mas",38988,207,869,1191,2866,1809,147,679,5164,1352,422,98,1704,478,482,3805,270,2394,571,1826,1417,40,2,1866,414,891,1667,627,2216,679,1943,894
"340","Barito Timur",37055,276,820,998,2396,1582,216,329,3072,1088,1103,577,2053,1081,1073,2345,429,2396,1422,3177,1388,404,155,1910,392,1127,669,376,2647,537,1014,NA
"341","Murung Raya",26722,238,676,1308,1814,1758,136,396,1771,799,302,187,1373,140,388,2359,1373,2448,321,532,2545,217,37,289,336,416,369,856,1546,902,577,315
"342","Kota Palangka Raya",53580,582,1457,1438,2446,2413,200,1229,4863,3731,507,1039,2975,1113,1751,5852,115,1920,1689,2596,652,998,418,1923,1227,2648,845,835,3634,1060,1156,266
"343","Tanah Laut",41796,306,1573,2694,3267,2454,162,1078,3546,824,419,903,2547,972,905,2586,260,4262,691,922,1200,251,84,2719,450,679,436,571,2949,788,1297,NA
"344","Kota Baru",44143,171,1433,2122,3299,2585,124,1113,4649,2058,868,769,2707,902,789,2997,289,4149,1103,1134,579,260,503,2124,887,1426,418,329,2086,1002,1235,32
"345","Banjar",67391,529,2361,2064,3300,3265,161,1065,7901,2853,2709,854,3066,1900,1181,2954,564,5302,3980,5230,2544,561,198,2975,1255,1389,545,657,3756,1309,963,NA
"346","Barito Kuala",47568,520,1944,1805,3371,3109,125,674,3818,1242,2046,594,3251,1067,594,2046,289,4530,2587,2118,2201,517,64,1574,588,1214,312,552,3186,623,1006,NA
"347","Tapin",58181,414,1496,1547,3052,3742,355,1518,6491,2235,1844,1359,3075,2017,1121,3730,892,3225,3713,2932,1967,733,125,1730,686,1034,690,550,3788,1182,938,NA
"348","Hulu Sungai Selatan",53457,371,1632,1884,3892,4353,222,940,5642,1884,1783,1595,1596,2150,559,2479,1038,3208,3563,2165,1592,572,346,2066,554,460,490,600,3515,711,1591,5
"349","Hulu Sungai Tengah",49921,391,1255,1493,3320,3530,229,904,5510,1670,1644,1181,1480,2426,731,1888,627,3329,4844,2676,1787,326,132,803,544,553,503,364,3808,781,1191,NA
"350","Hulu Sungai Utara",50456,145,1562,769,2475,2517,88,1002,6733,2250,1291,502,3380,1605,448,2440,467,4609,3404,3135,946,380,89,2854,804,463,346,523,3070,1197,961,NA
"351","Tabalong",59712,462,1619,1683,3310,3467,405,1259,9840,2494,1696,959,4122,1837,1763,2314,884,3534,2314,2015,2859,681,332,781,544,1319,700,1101,3817,850,749,4
"352","Tanah Bumbu",54184,262,1420,1467,2229,2358,247,1257,6298,2100,2414,704,4486,1800,1077,2956,346,4367,1330,3064,1038,503,428,2992,901,1801,585,439,3160,1101,1034,18
"353","Balangan",50966,225,1074,633,2569,3375,75,795,4286,1632,2312,931,2635,1771,1190,2314,653,4292,2910,3608,1603,518,153,3454,607,465,713,542,3346,908,1375,NA
"354","Kota Banjarmasin",82137,651,2206,2370,3543,3292,589,1693,7764,5479,1740,2557,5008,2896,1862,4730,408,3391,4556,4839,2504,2939,880,3404,1569,1780,635,782,4035,1311,2725,NA
"355","Kota Banjar Baru",63514,745,2379,2383,2705,2709,202,1492,8929,3153,1081,1343,2311,2291,1516,4567,361,3438,3017,3551,1873,940,337,730,1216,2329,900,1309,3604,1162,929,9
"356","Paser",38625,287,1281,1450,1619,2220,195,1157,5070,2343,1283,738,1562,549,945,3085,341,2351,828,983,967,548,557,1713,1001,1862,249,438,1601,838,566,NA
"357","Kutai Barat",42226,280,1572,1390,1253,1973,85,1418,11704,2740,120,210,2207,635,858,2535,223,1251,263,732,1266,311,63,1903,1049,1927,181,639,1813,399,1170,58
"358","Kutai Kartanegara",37888,421,992,717,1655,2191,370,1132,5274,3418,63,117,1324,1023,737,3688,271,1589,406,1233,1150,182,272,1756,548,2149,440,351,2078,835,1506,1
"359","Kutai Timur",56283,1090,1564,1580,1780,2188,666,1817,7092,4634,1423,167,1619,1467,1059,5808,406,1514,782,2519,1240,446,248,1660,2817,3070,730,860,2076,1758,2086,115
"360","Berau",44966,482,1348,1985,2560,2139,123,803,4235,3608,530,87,1054,1245,1433,4044,244,2610,602,1659,745,491,129,2048,2165,2508,740,1376,1793,1198,803,179
"361","Penajam Paser Utara",36387,636,1416,1128,1554,2291,111,858,6471,1599,331,88,1342,847,192,3095,103,2062,335,783,545,41,381,2778,593,2212,326,484,1207,772,1805,NA
"362","Mahakam Ulu",29810,113,755,1537,1594,1938,48,542,1910,891,170,NA,2019,540,207,2561,361,2019,84,184,582,56,5,790,554,2699,582,414,2892,404,1762,1594
"363","Kota Balikpapan",80923,1073,2550,1561,3361,1974,909,1863,15254,4941,730,1571,4370,1623,2061,6344,296,2561,1522,3110,952,1867,626,3155,1978,4150,748,1292,5214,1061,2061,144
"364","Kota Samarinda",55435,550,1664,1457,2367,1745,309,1510,7123,3503,921,442,2206,1522,1247,4498,184,1799,1633,2932,1195,1092,529,2586,1780,2864,515,1010,3804,865,1576,7
"365","Kota Bontang",68167,842,2117,1817,3893,2618,514,1944,9361,4803,721,272,1628,1581,1157,5592,270,2661,1665,3070,1198,613,493,4054,1834,3722,695,1743,3630,1321,2300,38
"366","Malinau",29008,241,313,947,919,1281,133,495,4639,1335,1081,110,951,987,811,1790,167,935,797,1511,769,201,13,661,736,1734,144,264,3182,354,1023,484
"367","Bulungan",48025,366,1397,1886,2908,2717,123,1007,7721,2090,352,66,2728,992,914,3085,87,1649,598,1420,1202,599,261,1587,1204,2175,827,729,3198,684,2551,903
"368","Tana Tidung",40268,489,824,1891,1483,2237,269,1227,6190,2397,338,86,1860,484,494,3250,458,2313,608,1113,870,376,558,456,1385,2719,736,540,2043,1172,1279,121
"369","Nunukan",35733,611,1146,1951,2683,3220,257,394,3344,2271,153,51,962,370,885,2730,351,1369,117,1157,1484,149,313,508,621,2284,580,439,2518,705,1861,249
"370","Kota Tarakan",60476,681,1697,1691,4943,3137,274,1039,8069,4468,836,184,2149,1242,963,5301,260,2103,911,3368,1158,579,356,2518,827,3281,406,556,3951,707,2805,16
"371","Bolaang Mongondow",33267,156,1285,917,2382,2319,361,803,6630,1002,656,62,324,1032,402,3200,337,885,1643,954,368,935,174,269,515,1289,409,384,1720,706,386,763
"372","Minahasa",40723,480,1558,1449,2844,2267,167,665,6121,1389,689,22,557,2026,428,4259,198,836,3713,1094,216,1243,320,1161,1012,1597,351,419,2610,420,239,374
"373","Kepulauan Sangihe",26655,97,1124,1242,3897,2041,15,155,3372,882,1275,5,218,909,38,1220,42,646,1685,586,44,169,NA,1150,268,196,253,132,4042,172,211,566
"374","Kepulauan Talaud",26003,97,1860,635,3064,1723,82,137,3394,272,573,14,21,809,97,1935,220,754,1530,438,238,232,4,716,595,1510,254,154,3302,306,199,839
"375","Minahasa Selatan",33463,248,1404,1238,2771,2407,298,582,6080,772,669,6,612,1005,244,3430,211,726,2263,1255,92,592,138,904,703,1202,367,488,1166,585,279,728
"376","Minahasa Utara",42628,530,2219,1824,3578,2388,364,829,4756,1930,915,23,656,1751,355,3118,200,1167,3415,1520,216,724,144,1514,1271,2638,497,1074,1635,667,279,435
"377","Bolaang Mongondow Utara",28319,95,1439,874,3086,2374,138,511,3720,972,404,65,374,1196,115,2088,362,937,2336,529,50,547,613,435,387,1338,294,426,1747,403,180,286
"378","Siau Tagulandang Biaro",25074,96,789,1139,3333,1317,13,257,2584,649,1161,6,226,1012,23,1464,98,614,1671,503,106,399,NA,323,387,420,89,256,4263,228,243,1405
"379","Minahasa Tenggara",35409,259,1274,1032,3308,2068,144,237,4947,1203,650,13,715,1525,367,3667,187,736,2797,1220,110,195,125,2121,678,1969,194,487,920,433,547,1283
