"","kabupaten_kota","telur_dan_susu","telur_ayam_ras","telur_ayam_kampung","telur_itik_telur_itik_manila","telur_lainnya_telur_puyuh_telur_asin_mentah_maupun_matang_telur_penyu_telur_angsa_dsb","susu_cair_pabrik","susu_kental_manis","susu_bubuk","susu_bubuk_bayi","susu_lainnya_dan_hasil_lain_dari_susu"
"1","Simeulue",4072,2026,391,2,16,22,357,357,901,NA
"2","Aceh Singkil",5500,2867,190,26,94,29,770,638,808,79
"3","Aceh Selatan",4492,2618,340,27,16,23,401,469,547,50
"4","Aceh Tenggara",6055,2645,140,726,136,26,502,779,1093,7
"5","Aceh Timur",4623,2389,127,86,161,63,497,286,1004,11
"6","Aceh Tengah",7861,3471,255,130,18,200,808,1541,1343,95
"7","Aceh Barat",6966,3244,459,208,168,196,601,896,773,421
"8","Aceh Besar",6246,3355,111,103,115,179,313,649,1402,19
"9","Pidie",5927,3060,175,158,291,28,285,509,1379,42
"10","Bireuen",5200,2744,81,126,133,186,212,626,1050,42
"11","Aceh Utara",3716,2396,43,19,119,29,263,237,609,1
"12","Aceh Barat Daya",4374,2283,214,47,59,56,438,625,624,28
"13","Gayo Lues",7099,3062,268,782,119,200,985,305,1192,186
"14","Aceh Tamiang",6043,3083,53,40,101,85,656,712,1258,55
"15","Nagan Raya",6814,3317,307,149,218,64,1325,420,960,55
"16","Aceh Jaya",5183,2884,213,186,112,141,462,491,688,7
"17","Bener Meriah",5765,3399,188,96,32,34,413,424,1111,67
"18","Pidie Jaya",6228,3038,117,216,157,88,341,345,1839,88
"19","Kota Banda Aceh",12742,3894,172,51,128,899,476,4770,1973,378
"20","Kota Sabang",9199,3857,326,84,55,204,342,1501,2118,712
"21","Kota Langsa",9332,3667,67,34,276,369,579,1834,2172,334
"22","Kota Lhokseumawe",7954,3355,90,54,140,119,279,1939,1900,78
"23","Kota Subulussalam",4677,2847,71,91,42,45,598,508,330,145
"24","Nias",5728,2922,276,18,36,28,230,489,1596,133
"25","Mandailing Natal",4837,2894,266,116,42,104,289,666,376,83
"26","Tapanuli Selatan",5287,3128,715,92,45,86,309,549,293,69
"27","Tapanuli Tengah",6386,2791,165,5,34,104,407,2020,839,21
"28","Tapanuli Utara",8334,3055,249,300,26,50,564,2534,1322,235
"29","Toba Samosir",13082,2521,948,1003,21,105,595,4547,2764,578
"30","Labuhan Batu",6578,2935,135,117,86,45,567,1056,1635,5
"31","Asahan",7716,3479,256,219,118,89,977,1030,1328,219
"32","Simalungun",6918,2921,333,208,64,104,670,1463,1119,37
"33","Dairi",7038,2695,661,25,12,30,625,1998,820,172
"34","Karo",10048,3968,393,101,113,75,694,2016,2452,237
"35","Deli Serdang",8988,3311,234,119,184,68,858,2000,1795,418
"36","Langkat",6625,3213,164,175,86,75,941,904,1061,6
"37","Nias Selatan",6030,2549,404,22,56,19,302,800,1858,21
"38","Humbang Hasundutan",8562,2806,565,219,21,133,648,2752,1263,155
"39","Pakpak Bharat",6808,2943,574,30,97,6,663,1467,781,245
"40","Samosir",10619,2470,801,123,42,39,638,4822,1486,199
"41","Serdang Bedagai",7738,3197,172,465,44,87,784,1497,1269,224
"42","Batu Bara",6314,2466,174,277,96,50,511,1130,1281,328
"43","Padang Lawas Utara",5215,2978,660,221,73,47,492,263,467,13
"44","Padang Lawas",5274,3024,548,120,64,34,326,373,445,339
"45","Labuhan Batu Selatan",7290,3300,355,39,48,28,1053,614,1767,85
"46","Labuhan Batu Utara",7018,3219,297,139,50,105,831,805,1403,169
"47","Nias Utara",5985,2821,456,NA,NA,59,285,463,1861,40
"48","Nias Barat",5292,2379,160,1,NA,18,215,1184,1268,67
"49","Kota Sibolga",7839,2706,269,17,82,128,670,2672,1246,51
"50","Kota Tanjung Balai",8349,2967,266,126,81,45,738,1362,2379,385
"51","Kota Pematang Siantar",11782,3187,682,153,132,266,686,5081,1413,182
"52","Kota Tebing Tinggi",9684,3461,186,194,138,199,605,2686,1692,523
"53","Kota Medan",11975,3895,282,94,230,239,690,3673,1864,1009
"54","Kota Binjai",10345,3435,244,71,49,231,772,2580,2742,221
"55","Kota Padangsidimpuan",7554,3315,208,164,198,59,371,1660,1346,232
"56","Kota Gunungsitoli",8193,3014,476,35,2,25,463,2255,1795,127
"57","Kepulauan Mentawai",6917,3130,293,NA,NA,21,895,1079,1483,16
"58","Pesisir Selatan",5700,2426,178,102,115,196,433,1331,826,93
"59","Solok",7165,3043,232,521,186,70,369,1458,1094,192
"60","Sijunjung",7635,3142,99,114,199,301,665,2256,820,40
"61","Tanah Datar",6964,3372,210,494,133,158,486,1461,619,31
"62","Padang Pariaman",6367,3246,203,122,112,230,497,1217,687,54
"63","Agam",7073,3617,316,217,49,28,332,1745,625,145
"64","Lima Puluh Kota",6538,2909,74,217,306,51,517,987,1444,35
"65","Pasaman",4645,2615,316,199,58,48,293,554,532,30
"66","Solok Selatan",6435,3595,164,505,247,181,637,768,244,94
"67","Dharmasraya",8374,3655,189,61,131,184,859,2370,789,136
"68","Pasaman Barat",4975,2735,271,33,52,36,311,1087,380,70
"69","Kota Padang",11159,3862,157,145,149,688,513,3510,1745,389
"70","Kota Solok",9133,3601,107,283,316,230,518,3165,780,133
"71","Kota Sawah Lunto",11310,3951,249,200,260,308,626,4076,1360,280
"72","Kota Padang Panjang",8789,3938,112,361,153,588,334,2159,990,155
"73","Kota Bukittinggi",11938,4198,160,402,283,555,346,4449,1188,358
"74","Kota Payakumbuh",7441,3216,157,258,196,273,425,2246,642,29
"75","Kota Pariaman",8673,3101,307,93,86,639,690,2356,1114,288
"76","Kuantan Singingi",7775,3778,156,105,92,121,944,1319,1232,28
"77","Indragiri Hulu",8446,3540,201,28,87,69,1103,1007,2041,369
"78","Indragiri Hilir",8064,4220,120,8,26,140,1307,1011,1185,46
"79","Pelalawan",9277,3941,164,42,112,120,1468,2200,1101,130
"80","Siak",10747,4306,199,103,107,271,976,2325,2357,104
"81","Kampar",8362,3834,133,20,100,125,1095,1571,1454,31
"82","Rokan Hulu",7616,3795,109,94,24,60,1058,1178,1139,159
"83","Bengkalis",8425,3872,143,52,121,186,822,874,2338,18
"84","Rokan Hilir",6902,3203,185,81,143,55,1239,423,1535,40
"85","Kepulauan Meranti",7464,4414,100,15,88,68,738,892,1116,32
"86","Kota Pekanbaru",12499,4251,87,35,150,854,680,4259,2024,159
"87","Kota Dumai",11012,4359,179,102,225,384,990,2746,1893,132
"88","Kerinci",6445,3450,224,194,43,84,464,1167,783,35
"89","Merangin",6295,3136,126,17,46,203,804,794,1098,70
"90","Sarolangun",6605,3275,141,17,77,49,981,690,1333,42
"91","Batang Hari",6082,3352,139,18,8,133,852,694,709,177
"92","Muaro Jambi",6690,3276,294,5,54,148,1393,642,814,65
"93","Tanjung Jabung Timur",7060,3735,95,75,60,74,1508,523,930,59
"94","Tanjung Jabung Barat",7797,4105,268,31,91,87,824,1195,1174,22
"95","Tebo",5556,2882,171,42,48,69,1142,710,438,54
"96","Bungo",6556,3221,173,20,153,276,948,891,787,87
"97","Kota Jambi",11681,3613,258,49,292,745,958,3966,1299,500
"98","Kota Sungai Penuh",7054,2931,276,460,60,84,653,1871,676,43
"99","Ogan Komering Ulu",8895,4066,175,32,27,134,1170,1383,1895,13
"100","Ogan Komering Ilir",8261,3758,65,348,42,101,1305,1063,1441,138
"101","Muara Enim",8385,3670,56,122,34,162,1365,1325,1475,176
"102","Lahat",6947,3182,72,5,15,273,1023,1162,1022,193
"103","Musi Rawas",5569,2666,102,158,20,87,1316,636,357,227
"104","Musi Banyuasin",8091,3710,132,39,11,110,1661,1277,1144,8
"105","Banyu Asin",8562,4338,83,61,17,189,1704,1106,909,155
"106","Ogan Komering Ulu Selatan",5297,3810,64,44,16,55,714,274,320,NA
"107","Ogan Komering Ulu Timur",6955,2860,87,542,82,85,1265,900,1125,7
"108","Ogan Ilir",6756,3199,76,497,34,196,1300,659,752,43
"109","Empat Lawang",4663,2542,42,31,22,32,839,462,596,97
"110","Penukal Abab Lematang Ilir",6556,2912,45,46,21,221,1013,1684,607,8
"111","Musi Rawas Utara",6530,2504,375,27,102,93,1517,376,1510,27
"112","Kota Palembang",12659,3906,137,55,135,784,1428,3803,2125,286
"113","Kota Prabumulih",10218,3587,49,15,22,320,993,3598,1282,351
"114","Kota Pagar Alam",6641,3049,55,8,39,120,744,1449,980,196
"115","Kota Lubuklinggau",8621,3209,112,102,88,483,1321,2256,1013,37
"116","Bengkulu Selatan",7436,3009,165,169,52,77,508,2010,1381,64
"117","Rejang Lebong",5702,3036,194,50,69,160,940,758,436,59
"118","Bengkulu Utara",6610,3189,190,21,61,145,907,1216,743,139
"119","Kaur",5540,2887,112,219,6,90,971,656,568,32
"120","Seluma",4999,2705,119,15,30,23,767,553,735,51
"121","Mukomuko",6351,3139,209,27,108,163,905,960,694,146
"122","Lebong",5740,2767,181,257,49,238,625,400,1162,61
"123","Kepahiang",6084,3484,136,NA,17,89,767,1009,537,45
"124","Bengkulu Tengah",6014,3003,271,6,25,51,770,1198,646,45
"125","Kota Bengkulu",10867,4185,241,26,107,671,801,3117,1193,525
"126","Lampung Barat",6612,3474,137,47,23,32,909,316,1316,358
"127","Tanggamus",5263,3027,61,71,32,17,643,570,822,20
"128","Lampung Selatan",6858,3914,118,60,64,102,1063,835,680,23
"129","Lampung Timur",6753,3058,152,217,42,77,1191,1093,915,8
"130","Lampung Tengah",6501,3272,265,104,55,76,1042,857,713,116
"131","Lampung Utara",6436,3683,131,39,29,74,1088,331,909,154
"132","Way Kanan",6664,3731,64,72,49,144,1336,476,712,81
"133","Tulangbawang",5897,3190,90,32,48,113,1077,327,882,138
"134","Pesawaran",5748,2986,76,39,16,93,1091,684,732,32
"135","Pringsewu",7943,3864,76,189,39,110,1194,1469,822,180
"136","Mesuji",6511,3206,128,120,NA,73,1300,649,888,147
"137","Tulang Bawang Barat",6040,3057,24,22,6,26,1070,325,1377,133
"138","Pesisir Barat",6662,3164,398,237,37,70,744,643,1301,69
"139","Kota Bandar Lampung",11895,4685,82,13,217,824,1077,2627,1770,599
"140","Kota Metro",9560,4089,50,57,147,741,1077,2388,889,124
"141","Bangka",10451,4204,488,29,93,189,1070,2459,1919,NA
"142","Belitung",12180,4055,942,19,123,411,1781,2536,2311,2
"143","Bangka Barat",10138,3904,381,9,57,281,1166,2131,2119,90
"144","Bangka Tengah",10248,4237,212,19,113,235,1368,1361,2625,78
"145","Bangka Selatan",8233,3496,126,26,99,267,826,1341,2051,NA
"146","Belitung Timur",12796,5094,433,29,255,1186,1121,1835,2843,NA
"147","Kota Pangkal Pinang",14740,4451,464,23,232,1327,991,3223,3987,43
"148","Karimun",11345,4654,159,3,198,535,1048,1462,2896,391
"149","Bintan",10866,4760,145,33,80,656,1401,1171,2442,179
"150","Natuna",11217,4787,326,1,76,270,1849,1180,2650,79
"151","Lingga",9075,3840,430,24,70,399,1126,829,2298,58
"152","Kepulauan Anambas",11145,4555,96,38,26,169,1588,1069,3320,283
"153","Kota Batam",15357,4806,176,33,148,1086,1066,3384,3490,1168
"154","Kota Tanjung Pinang",12456,4335,162,5,149,1132,1358,2408,2330,576
"155","Kep. Seribu",10295,5560,186,5,331,811,1610,568,1145,77
"156","Kota Jakarta Selatan",14770,5118,181,NA,236,2526,675,3726,1418,889
"157","Kota Jakarta Timur",14795,4969,147,23,284,2205,1022,4014,1714,415
"158","Kota Jakarta Pusat",12924,3930,195,20,271,1187,828,4033,1824,636
"159","Kota Jakarta Barat",13923,4601,262,54,288,1406,1072,3718,2219,303
"160","Kota Jakarta Utara",14349,4580,163,46,290,1314,995,3741,2535,686
"161","Bogor",7494,3727,60,9,84,566,759,1237,864,189
"162","Sukabumi",5841,3664,177,14,102,156,673,598,415,44
"163","Cianjur",5510,3504,156,45,107,202,672,353,375,95
"164","Bandung",8348,4571,50,33,89,628,908,728,904,437
"165","Garut",5635,3715,61,86,20,233,748,303,344,125
"166","Tasikmalaya",5012,3188,140,88,23,257,376,315,558,67
"167","Ciamis",7017,3530,219,47,103,336,1066,784,704,227
"168","Kuningan",7364,3474,146,52,335,407,964,683,916,386
"169","Cirebon",5998,2912,40,36,144,370,769,746,682,298
"170","Majalengka",6279,3582,63,34,167,483,850,463,508,129
"171","Sumedang",7793,4564,36,27,70,491,850,1057,597,101
"172","Indramayu",7952,4079,54,42,152,619,890,954,811,351
"173","Subang",7500,4331,71,84,121,144,774,609,1153,214
"174","Purwakarta",8410,3985,52,115,93,784,1074,1213,1059,35
"175","Karawang",7500,3720,178,38,82,244,668,1161,1385,23
"176","Bekasi",11010,4667,85,25,61,945,935,1957,1819,517
"177","Bandung Barat",6544,3950,31,16,64,533,892,398,424,238
"178","Pangandaran",6351,3190,408,57,185,253,937,829,408,84
"179","Kota Bogor",13604,4871,23,4,204,1384,1088,2854,2669,508
"180","Kota Sukabumi",9930,4864,30,31,175,1289,746,1269,1182,345
"181","Kota Bandung",12952,5155,98,24,253,1777,853,2539,1352,901
"182","Kota Cirebon",10072,3752,35,9,231,1295,822,2366,1147,415
"183","Kota Bekasi",14986,5173,139,45,289,2167,741,3813,1943,676
"184","Kota Depok",15447,4815,94,73,146,2211,744,4440,2273,652
"185","Kota Cimahi",12271,4973,66,28,109,1726,797,2514,1310,749
"186","Kota Tasikmalaya",8782,3719,75,87,81,980,890,1444,1083,423
"187","Kota Banjar",8654,3314,72,118,140,364,1620,1557,1364,106
"188","Cilacap",5700,2793,66,154,87,122,611,1006,736,126
"189","Banyumas",6743,2719,132,100,273,308,890,1345,723,254
"190","Purbalingga",5685,2580,102,47,170,268,657,1286,546,28
"191","Banjarnegara",6839,3267,213,39,118,360,1011,905,757,168
"192","Kebumen",6414,2793,226,239,169,398,926,1054,434,175
"193","Purworejo",7847,2826,155,404,151,238,986,1986,627,475
"194","Wonosobo",5906,2900,96,79,20,303,712,1015,652,128
"195","Magelang",7217,3052,146,87,52,413,797,1838,576,256
"196","Boyolali",7485,3094,248,43,63,218,579,1719,1283,238
"197","Klaten",7783,3381,254,78,143,304,723,1327,1422,152
"198","Sukoharjo",9462,3120,242,146,143,309,927,3147,1048,381
"199","Wonogiri",6485,3425,192,13,20,161,557,1548,386,182
"200","Karanganyar",7880,3266,280,25,298,175,835,1815,1018,167
"201","Sragen",8372,3800,340,32,53,125,993,1063,1920,45
"202","Grobogan",4625,2368,67,21,34,223,688,577,442,205
"203","Blora",5490,2860,272,32,88,334,368,1049,437,50
"204","Rembang",4384,2952,118,9,39,199,306,521,208,33
"205","Pati",5861,3076,73,5,186,140,869,759,718,34
"206","Kudus",7947,2888,33,12,130,235,671,1869,2031,78
"207","Jepara",6216,3106,121,13,110,119,859,609,1165,114
"208","Demak",6185,3262,84,38,102,182,882,621,988,26
"209","Semarang",7359,3209,220,102,65,247,856,1653,899,108
"210","Temanggung",5537,2433,105,66,64,170,733,1535,294,138
"211","Kendal",6989,2940,78,39,56,142,752,1549,1279,155
"212","Batang",5522,2715,68,34,117,79,768,880,860,1
"213","Pekalongan",6525,3027,84,34,111,250,826,924,1098,172
"214","Pemalang",5613,2812,101,28,141,251,747,903,397,233
"215","Tegal",6292,2816,77,46,91,518,870,1102,597,175
"216","Brebes",5705,3093,76,22,29,522,761,715,394,93
"217","Kota Magelang",10882,3309,393,227,307,1226,592,3467,1114,247
"218","Kota Surakarta",10643,3292,216,30,155,877,418,2877,2358,419
"219","Kota Salatiga",12888,4043,308,173,382,1000,707,4138,1387,750
"220","Kota Semarang",12406,4357,121,45,306,1106,622,3603,1614,632
"221","Kota Pekalongan",8471,3336,73,23,235,476,565,1797,1711,255
"222","Kota Tegal",7591,3247,15,23,96,575,499,1841,943,351
"223","Kulon Progo",6396,2772,179,86,102,230,601,1729,558,139
"224","Bantul",11613,4783,272,262,277,631,803,3455,1026,103
"225","Gunung Kidul",6405,3226,317,7,99,136,778,1266,522,55
"226","Sleman",11791,3492,335,138,149,1937,979,2788,1720,253
"227","Kota Yogyakarta",9076,3502,152,33,250,1250,499,2087,1017,286
"228","Pacitan",5595,3158,145,4,19,124,451,1007,599,89
"229","Ponorogo",5893,2818,127,6,26,259,412,1427,723,96
"230","Trenggalek",5473,2472,186,NA,54,198,413,1573,521,56
"231","Tulungagung",8087,3304,145,106,216,343,604,2017,1194,158
"232","Blitar",7392,2408,94,31,95,238,308,2025,1872,322
"233","Kediri",6681,2833,247,20,72,331,440,1581,996,163
"234","Malang",6122,2885,181,17,80,371,379,1355,748,106
"235","Lumajang",6009,3359,380,69,188,248,503,543,651,69
"236","Jember",5306,2698,209,39,87,198,279,980,720,96
"237","Banyuwangi",6353,2533,121,105,67,469,217,1169,1534,137
"238","Bondowoso",5372,2889,326,52,46,194,258,542,994,71
"239","Situbondo",5170,2565,404,23,65,263,172,494,1184,NA
"240","Probolinggo",4643,2502,367,21,58,180,289,303,838,85
"241","Pasuruan",6026,2762,197,18,142,334,382,938,1041,211
"242","Sidoarjo",12311,3866,177,27,200,982,618,3111,2851,480
"243","Mojokerto",7706,3372,265,5,137,519,580,1281,1314,233
"244","Jombang",8034,2550,277,21,155,496,411,2489,1418,216
"245","Nganjuk",8012,3068,250,7,84,264,384,1812,1629,513
"246","Madiun",5953,2926,319,3,64,131,348,1125,938,99
"247","Magetan",7530,3265,315,9,57,340,591,1669,987,295
"248","Ngawi",6325,2864,504,45,50,138,433,1118,992,181
"249","Bojonegoro",5135,2493,237,34,45,309,361,662,974,20
"250","Tuban",5032,2648,52,17,54,755,207,684,584,31
"251","Lamongan",7108,3217,137,4,81,338,410,977,1846,98
"252","Gresik",9819,3535,247,42,168,693,596,1864,2507,166
